222,El Salvador,3,High,2020,2020.5,3036.424,3449.777,6486.201,313.041
226,Equatorial Guinea,3,High,2020,2020.5,780.38,622.605,1402.985,50.017
232,Eritrea,3,High,2020,2020.5,1777.548,1768.879,3546.427,35.113
233,Estonia,3,High,2020,2020.5,628.456,698.083,1326.539,31.294
748,Eswatini,3,High,2020,2020.5,570.236,589.928,1160.164,67.451
231,Ethiopia,3,High,2020,2020.5,57516.835,57446.748,114963.583,114.964
917,Europe,3,High,2020,2020.5,361060.973,386575.072,747636.045,33.776
908,Europe,3,High,2020,2020.5,361060.973,386575.072,747636.045,33.776
1829,Europe and Northern America,3,High,2020,2020.5,543641.495,572864.194,1116505.689,27.374
238,Falkland Islands (Malvinas),3,High,2020,2020.5,,,3.483,0.286
234,Faroe Islands,3,High,2020,2020.5,,,48.865,35.004
242,Fiji,3,High,2020,2020.5,454.018,442.426,896.444,49.066
246,Finland,3,High,2020,2020.5,2732.406,2808.312,5540.718,18.233
250,France,3,High,2020,2020.5,31589.195,33684.317,65273.512,119.209
254,French Guiana,3,High,2020,2020.5,147.75,150.932,298.682,3.634
258,French Polynesia,3,High,2020,2020.5,142.261,138.643,280.904,76.75
266,Gabon,3,High,2020,2020.5,1132.854,1092.874,2225.728,8.638
270,Gambia,3,High,2020,2020.5,1198.54,1218.124,2416.664,238.801
268,Georgia,3,High,2020,2020.5,1901.227,2087.948,3989.175,57.406
276,Germany,3,High,2020,2020.5,41415.911,42368.034,83783.945,240.372
288,Ghana,3,High,2020,2020.5,15749.999,15322.946,31072.945,136.56
292,Gibraltar,3,High,2020,2020.5,,,33.691,3369.1
300,Greece,3,High,2020,2020.5,5115.826,5307.23,10423.056,80.862
304,Greenland,3,High,2020,2020.5,,,56.772,0.138
308,Grenada,3,High,2020,2020.5,56.666,55.853,112.519,330.938
312,Guadeloupe,3,High,2020,2020.5,184.556,215.571,400.127,245.778
316,Guam,3,High,2020,2020.5,85.14,83.643,168.783,312.561
320,Guatemala,3,High,2020,2020.5,8827.109,9088.458,17915.567,167.185
324,Guinea,3,High,2020,2020.5,6353.234,6779.558,13132.792,53.446
624,Guinea-Bissau,3,High,2020,2020.5,962.695,1005.303,1967.998,69.986
328,Guyana,3,High,2020,2020.5,395.549,391.01,786.559,3.996
332,Haiti,3,High,2020,2020.5,5626.445,5776.088,11402.533,413.735
1503,High-income countries,3,High,2020,2020.5,628969.382,634123.552,1263092.934,33.339
336,Holy See,3,High,2020,2020.5,,,0.809,1838.636
340,Honduras,3,High,2020,2020.5,4948.88,4955.728,9904.608,88.521
348,Hungary,3,High,2020,2020.5,4598.288,5062.062,9660.35,106.709
352,Iceland,3,High,2020,2020.5,171.405,169.845,341.25,3.404
356,India,3,High,2020,2020.5,717100.97,662903.415,1380004.385,464.149
360,Indonesia,3,High,2020,2020.5,137717.861,135805.76,273523.621,150.987
364,Iran (Islamic Republic of),3,High,2020,2020.5,42408.406,41584.547,83992.953,51.575
368,Iraq,3,High,2020,2020.5,20357.778,19864.725,40222.503,92.61
372,Ireland,3,High,2020,2020.5,2451.349,2486.447,4937.796,71.677
833,Isle of Man,3,High,2020,2020.5,,,85.032,149.179
376,Israel,3,High,2020,2020.5,4308.117,4347.424,8655.541,399.979
380,Italy,3,High,2020,2020.5,29437.725,31024.103,60461.828,205.555
388,Jamaica,3,High,2020,2020.5,1469.641,1491.52,2961.161,273.422
392,Japan,3,High,2020,2020.5,61753.045,64723.413,126476.458,346.934
400,Jordan,3,High,2020,2020.5,5165.979,5037.161,10203.14,114.926
398,Kazakhstan,3,High,2020,2020.5,9112.939,9663.768,18776.707,6.955
404,Kenya,3,High,2020,2020.5,26718.527,27052.773,53771.3,94.478
296,Kiribati,3,High,2020,2020.5,58.744,60.702,119.446,147.464
414,Kuwait,3,High,2020,2020.5,2614.446,1656.117,4270.563,239.65
417,Kyrgyzstan,3,High,2020,2020.5,3227.27,3296.921,6524.191,34.016
1636,Land-locked Developing Countries (LLDC),3,High,2020,2020.5,264412.004,268731.394,533143.398,32.238
418,Lao People's Democratic Republic,3,High,2020,2020.5,3651.794,3623.762,7275.556,31.523
904,Latin America and the Caribbean,3,High,2020,2020.5,321628.754,332333.578,653962.332,32.472
1830,Latin America and the Caribbean,3,High,2020,2020.5,321628.754,332333.578,653962.332,32.472
428,Latvia,3,High,2020,2020.5,869.336,1016.866,1886.202,30.325
941,Least developed countries,3,High,2020,2020.5,526016.328,531421.835,1057438.163,52.509
422,Lebanon,3,High,2020,2020.5,3435.746,3389.696,6825.442,667.199
426,Lesotho,3,High,2020,2020.5,1056.95,1085.302,2142.252,70.562
902,Less developed regions,3,High,2020,2020.5,3309510.625,3211983.843,6521494.468,80.515
430,Liberia,3,High,2020,2020.5,2542.539,2515.138,5057.677,52.509
434,Libya,3,High,2020,2020.5,3468.737,3402.55,6871.287,3.905
438,Liechtenstein,3,High,2020,2020.5,,,38.137,238.356
440,Lithuania,3,High,2020,2020.5,1259.987,1462.304,2722.291,43.436
1500,Low-income countries,3,High,2020,2020.5,385051.462,390659.15,775710.612,52.257
1501,Lower-middle-income countries,3,High,2020,2020.5,1579569.979,1518665.305,3098235.284,144.386
442,Luxembourg,3,High,2020,2020.5,316.587,309.389,625.976,241.69
450,Madagascar,3,High,2020,2020.5,13814.619,13876.4,27691.019,47.596
454,Malawi,3,High,2020,2020.5,9434.037,9695.918,19129.955,202.906
458,Malaysia,3,High,2020,2020.5,16630.813,15735.185,32365.998,98.512
462,Maldives,3,High,2020,2020.5,342.928,197.614,540.542,1801.807
466,Mali,3,High,2020,2020.5,10145.174,10105.66,20250.834,16.596
470,Malta,3,High,2020,2020.5,221.42,220.119,441.539,1379.809
584,Marshall Islands,3,High,2020,2020.5,,,59.194,328.856
474,Martinique,3,High,2020,2020.5,172.607,202.658,375.265,354.024
478,Mauritania,3,High,2020,2020.5,2334.981,2314.679,4649.66,4.511
480,Mauritius,3,High,2020,2020.5,627.48,644.287,1271.767,626.486
