FICHE;DATE;ZONE;NUMECH;MP4;P9_PREF;MP5;MP6;MP7;MP8;MP9;MP10;MP11;MP12;MP13;MP14;MP15;MP16;MP17;MP18;M1;M2;M3;M4;M5;M6;M7_1;M8_1;M9_1;M10_1;M11_1;M12_1;M13_1;M7_2;M8_2;M9_2;M10_2;M11_2;M12_2;M13_2;M7_3;M8_3;M9_3;M10_3;M11_3;M12_3;M13_3;M7_4;M8_4;M9_4;M10_4;M11_4;M12_4;M13_4;COEM
1 ;080409;001002;013;2;1;16;00;02;00;02;12;1;01;03;04;00;1;1;055;4;4;1;3;1;1;1;2;1997;06;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;025.457
1 ;270309;001002;023;4;1;11;02;00;00;02;07;1;01;02;03;02;2;8;054;4;1;2; ;2;1;1;3;2002;06;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;090109;001002;032;4;1;08;00;00;00;02;06;0;00;02;01;00;2;1;027;3;4;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;101208;001002;049;2;1;07;00;07;00;00;00;2;01;01;02;00;1;1;029;4;1;1;3;1;2;1;3;2007;06;1;1;3;1;3;2002;06;1;1;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;171208;001002;058;2;1;10;00;00;02;00;08;1;01;04;05;00;2;8;050;4;1;1;3;1;1;1;1;2003;11;1;4;3; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;012.487
1 ;181208;001002;061;3;6;03;00;00;00;00;03;0;00;01;01;00;2;6;060;4;4;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;170209;001002;066;1;1;04;01;00;00;00;03;1;01;00;01;01;1;1;042;4;4;1;4;1;1;1;2;2002;04;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;040409;001002;079;5;1;21;02;02;00;00;17;1;04;01;05;04;2;2;033;4;4;1;3;2;1;1;3;1997;06;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;012.487
1 ;030409;001002;080;4;1;08;02;00;00;00;06;0;01;02;03;02;2;4;018;4;1;2; ;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;024.609
1 ;310109;001002;092;5;1;22;00;00;00;10;12;2;01;03;04;00;1;1;049;4;1;1;4;1;2;1;3;1994;07;1;4;4;1;1;1994;07;1;2;2; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;025.457
1 ;270109;001002;096;1;2;05;00;00;00;00;05;0;01;01;02;00;1;3;016;4;4;1;4;1;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;034.599
1 ;070209;001002;106;5;6;08;00;00;00;00;08;0;01;00;01;00;1;6;030;4;4;2; ;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
1 ;040209;001002;113;2;8;00;00;00;00;00;00;0;00;01;01;00;2;8;088;4;4;1;3;2;0; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ; ; ;    ;  ; ; ; ;040.147
