FICHE;ZONE;NUMECH;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15A;P15B;P16;P17A;P17B;P18A;P18B;P19;P20;P21;P22;P23;P24A;P24B;P25;COEP
2 ;001002;013;04;2;3;014;2;1;2;0;5;0;84;3; ;2;006005;  ; ; ; ;2; ;1;5;5;2;2;5;5;1;025.457
2 ;001002;023;01;2;4;079;2;2;2;3;7;0;41;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;5;5;5;2;024.609
2 ;001002;023;02;1;1;057;1;1;1;5;1;0;32;3; ;2;001003;16;2; ;1;2; ;2;5;3;5;4;5;5;1;024.609
2 ;001002;023;03;2;2;054;1;2;2;2;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;1;5;4;1;024.609
2 ;001002;032;01;2;1;027;1;1;2;4;1;0;48;3; ;2;009005;13;3; ;1;2; ;1;5;5;5;4;5;4;1;034.599
2 ;001002;032;02;2;3;002; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;034.599
2 ;001002;049;01;2;2;031;1;1;1;4;1;0;46;3; ;2;027005;07;1;1; ;2; ;5;3;1;4;3;5;5;1;034.599
2 ;001002;049;02;1;1;029;1;1;1;4;1;0;21;3; ;2;047002;06;1;3; ;2; ;5;4;1;4;4;4;5;1;034.599
2 ;001002;058;01;1;1;052;2;1;1;5;1;0;41;2;1;2;200003;15;2; ;1;2; ;5;5;4;5;4;4;1;1;012.487
2 ;001002;058;02;2;2;050;1;1;1;5;8;0;82;3; ; ;      ;  ; ; ; ;2; ;4;5;2;4;4;5;5;2;012.487
2 ;001002;058;03;2;3;017;1;1;2;0;5;0;85;3; ;2;007009;  ; ; ; ;2; ;5;5;5;2;4;5;5;1;012.487
2 ;001002;058;04;2;3;013;1;1;2;0;5;0;84;3; ;2;001003;  ; ; ; ;2; ;5;5;5;2;2;5;5;1;012.487
2 ;001002;058;05;2;3;010;1;1;2;0;5;0;83;3; ;2;001002;  ; ; ; ;2; ;5;5;5;5;4;5;5;2;012.487
2 ;001002;061;01;2;1;060;1;2;2;1;6;0;56;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;2;4;4;1;040.147
2 ;001002;066;01;1;1;042;1;1;1;4;1;0;46;3; ;2;003003;15;2; ;3;2; ;5;5;2;5;1;5;5;1;040.147
2 ;001002;079;01;1;1;041;1;2;1;2;1;0;61;3; ;2;036005;08;1;2; ;2; ;5;5;1;3;5;5;5;1;012.487
2 ;001002;079;02;2;2;033;2;2;2;2;2;0;61;3; ;2;008001;19;3; ;1;2; ;5;5;5;3;2;5;5;1;012.487
2 ;001002;079;03;1;3;014;2;2;2;0;5;0;84;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;5;5;5;1;012.487
2 ;001002;079;04;1;3;011;2;2;2;0;5;0;83;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;5;5;5;1;012.487
2 ;001002;079;05;1;3;007;2;2;2;0;5;0;83;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;5;5;5;1;012.487
2 ;001002;080;01;1;1;047;1;1;1;4;1;0;54;3; ;2;007009;13;3; ;1;2; ;5;5;5;5;2;4;4;1;024.609
2 ;001002;080;02;2;2;045;1;2;2;3;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;1;4;4;2;024.609
2 ;001002;080;03;2;3;018;1;1;2;0;4;0;87;2;1;2;013005;  ;3; ;3;2; ;5;5;5;5;1;4;4;1;024.609
2 ;001002;092;01;1;1;049;1;2;1;2;1;0;32;3; ;1;001002;18; ; ; ;2; ;1;5;2;5;3;5;5;1;025.457
2 ;001002;092;02;2;2;049;1;1;1;2;2;0;41;3; ;2;002004;18;3; ;1;2; ;1;5;2;5;5;5;5;1;025.457
2 ;001002;092;03;2;3;014;1;1;2;0;5;0;84;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;3;5;5;1;025.457
2 ;001002;092;04;2;3;012;1;1;2;0;5;0;84;3; ;2;001003;  ; ; ; ;2; ;5;5;5;3;3;5;5;1;025.457
2 ;001002;096;01;2;1;042;2;2;2;2;2;0;56;3; ;1;001002;19; ; ; ;2; ;5;5;5;4;3;3;3;1;034.599
2 ;001002;096;02;1;3;016;1;1;2;0;3;1;89;3; ;2;001002;  ; ; ; ;2; ;5;5;5;4;2;4;4;2;034.599
2 ;001002;106;01;1;1;030;1;2;1;4;6;0;55;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;1;3;4;1;040.147
2 ;001002;113;01;2;1;088;2;2;2;2;8;0;82;3; ; ;      ;  ; ; ; ;1;9;5;5;5;2;4;4;4;2;040.147
2 ;001002;118;01;2;1;026;1;1;2;5;1;0;54;3; ;2;022001;13;3; ;1;2; ;3;5;5;2;1;4;5;1;040.147
2 ;001002;146;01;1;1;077;2;2;1;1;7;0;66;3; ; ;      ;  ; ; ; ;2; ;5;5;3;5;1;5;5;1;040.147
2 ;001002;161;01;1;1;036;1;1;1;5;1;0;31;3; ;2;002003;10;3; ;1;2; ;5;3;5;4;4;4;5;1;034.599
2 ;001002;161;02;2;2;036;1;1;2;4;8;0;54;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;2;4;5;2;034.599
2 ;001002;171;01;2;1;063;1;1;1;3;1;0;22;3; ;2;007006;09;3; ;1;2; ;5;5;5;2;3;4;5;1;040.147
2 ;001002;180;01;2;1;025;1;1;1;5;2;0;55;3; ;2;007009;09;3; ;1;2; ;5;5;5;2;1;2;5;1;034.599
2 ;001002;180;02;2;4;023;1;1;2;0;4;1;87;3; ;2;021005;  ;3; ;1;2; ;5;2;5;5;1;5;5;1;034.599
2 ;001002;183;01;1;1;047;1;1;1;2;1;0;51;3; ;2;007051;17;3; ;1;2; ;1;5;5;5;4;4;4;1;024.609
2 ;001002;183;02;2;2;040;1;1;2;3;2;0;54;3; ;2;016001;17;3; ;1;2; ;1;5;5;5;3;4;4;1;024.609
2 ;001002;183;03;1;3;011;2;2;2;0;5;0;84;3; ;2;001003;  ; ; ; ;2; ;5;5;5;5;4;4;4;1;024.609
2 ;001002;187;01;1;1;037;1;1;1;3;6;0;61;3; ; ;      ;  ; ; ; ;2; ;1;5;5;3;2;5;5;1;040.147
2 ;001002;197;01;1;1;080;2;2;1;2;7;0;21;2;1; ;      ;  ; ; ; ;2; ;5;5;5;4;4;4;4;1;034.599
2 ;001002;197;02;2;2;076;2;2;2;2;7;0;21;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;4;4;4;1;034.599
2 ;001002;199;01;1;1;081;1;2;1;2;7;0;51;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;3;5;5;1;034.599
2 ;001002;199;02;2;2;076;1;2;2;1;7;0;51;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;3;5;5;1;034.599
2 ;001003;003;01;2;1;071;2;2;1;2;7;0;48;3; ; ;      ;  ; ; ; ;1;9;5;5;3;4;2;5;5;2;040.147
