FICHE;ZONE;NUMECH;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15A;P15B;P16;P17A;P17B;P18A;P18B;P19;P20;P21;P22;P23;P24A;P24B;P25;COEP
2 ;007002;131;04;1;3;015;1;1;2;0;5;0;84;3; ;2;005006;  ; ; ; ;2; ;5;5;5;5;4;5;5;1;040.195
2 ;007002;131;05;2;3;002; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;040.195
2 ;007002;133;01;2;4;025;1;1;1;0;4;0;88;2;1;2;013051;  ;3; ;1;2; ;5;5;4;3;1;4;4;1;054.792
2 ;007002;133;02;1;1;021;1;1;1;0;4;0;87;2;1;2;007001;  ;3; ;1;2; ;5;5;4;3;1;4;4;1;054.792
2 ;007002;165;01;1;1;043;1;1;1;3;1;0;46;3; ;2;013007;16;2; ;1;2; ;5;1;4;4;5;5;5;1;059.165
2 ;007002;165;02;2;2;041;1;1;1;3;1;0;46;3; ;2;900075;15;2; ;1;2; ;5;5;4;5;3;5;5;2;059.165
2 ;007002;165;03;1;3;015;1;1;2;0;5;0;84;3; ;2;016006;  ; ; ; ;2; ;5;5;5;4;5;5;5;1;059.165
2 ;007002;165;04;1;3;010;2;2;2;0;5;0;83;3; ;2;007006;  ; ; ; ;2; ;5;5;5;4;5;5;5;1;059.165
2 ;007002;170;01;2;1;086;2;2;2;1;7;0;56;2;1; ;      ;  ; ; ; ;2; ;5;5;5;5;4;4;5;1;069.145
2 ;007003;002;01;2;1;024;1;1;1;4;1;0;51;3; ;2;003008;08;3; ;3;2; ;5;5;5;4;2;5;3;1;069.145
2 ;007003;011;01;2;1;029;1;1;1;5;1;0;32;3; ;2;078002;16;1;2; ;2; ;5;5;1;4;4;5;4;1;069.145
2 ;007003;012;01;2;1;083;1;1;1;5;7;0;31;3; ; ;      ;  ; ; ; ;1;9;5;5;5;3;5;5;5;1;069.145
2 ;007003;038;01;2;2;031;2;1;1;5;6;0;81;2;1; ;      ;  ; ; ; ;2; ;5;5;3;4;3;5;5;3;054.792
2 ;007003;038;02;1;1;031;2;1;2;5;1;0;36;2;1;1;007003;11; ; ; ;2; ;5;5;5;3;5;5;5;1;054.792
2 ;007003;065;01;2;2;055;2;2;1;2;1;0;51;3; ;2;024006;17;1;2; ;2; ;5;5;5;1;3;5;4;2;059.165
2 ;007003;065;02;1;1;053;1;2;1;3;1;0;46;3; ;2;035004;10;1;2; ;2; ;5;5;1;5;4;5;4;1;059.165
2 ;007003;065;03;2;3;024;1;1;1;0;4;0;88;2;2;2;024003;  ;3; ;1;2; ;5;5;3;5;1;5;4;1;059.165
2 ;007003;065;04;2;3;018;1;1;1;0;4;0;87;3; ;2;035001;  ;1;2; ;2; ;5;5;1;5;4;5;4;1;059.165
2 ;007003;071;01;1;1;053;1;1;1;4;1;0;46;3; ;2;007001;10;2; ;1;2; ;5;5;5;5;5;5;5;1;054.792
2 ;007003;071;02;1;3;013;1;1;2;0;5;0;84;3; ;2;016006;  ; ; ; ;2; ;5;5;5;5;5;5;5;1;054.792
2 ;007003;085;01;2;1;065;1;2;1;3;7;0;54;3; ; ;      ;  ; ; ; ;2; ;5;5;1;5;1;2;5;1;069.145
2 ;007003;093;01;1;1;077;1;2;1;3;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;4;5;2;5;5;1;054.792
2 ;007003;093;02;2;2;073;1;2;1;3;7;0;55;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;5;5;5;2;054.792
2 ;007003;094;01;1;1;088;2;2;2;2;7;0;61;2;1; ;      ;  ; ; ; ;2; ;5;5;5;3;3;5;5;2;054.792
2 ;007003;094;02;2;2;073;1;2;2;2;8;0;82;2;1; ;      ;  ; ; ; ;2; ;5;5;5;3;3;5;5;2;054.792
2 ;007003;136;01;1;1;042;1;1;1;4;1;0;46;3; ;2;031006;06;1;2; ;2; ;5;5;1;3;4;5;4;1;054.792
2 ;007003;136;02;1;4;025;1;1;1;5;6;0;32;2;2; ;      ;  ; ; ; ;2; ;5;5;3;3;2;5;4;1;054.792
2 ;007003;151;01;1;1;031;1;1;1;5;1;0;36;3; ;2;076003;10;1;2; ;2; ;5;5;1;5;5;4;4;1;100.566
2 ;007003;151;02;2;2;027;1;1;2;2;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;3;5;5;2;100.566
2 ;007003;151;03;1;3;001; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;100.566
2 ;007003;154;01;1;1;041;1;1;1;4;1;0;54;3; ;2;005004;13;2; ;1;2; ;1;5;2;5;2;5;5;1;054.792
2 ;007003;154;02;2;2;040;1;1;2;2;9;0;56;2;1; ;      ;  ; ; ; ;2; ;5;5;5;2;3;5;5;2;054.792
2 ;007003;159;01;2;1;046;1;2;2;3;1;0;41;1;1;2;033005;99;3; ;1;2; ;5;5;5;3;2;5;5;1;059.165
2 ;007003;159;02;2;3;015;1;1;2;0;5;0;84;2;2;2;016006;  ; ; ; ;2; ;5;5;5;3;3;5;5;1;059.165
2 ;007003;159;03;2;3;012;1;2;2;0;5;0;84;3; ;2;016006;  ; ; ; ;2; ;5;5;5;3;3;5;5;1;059.165
2 ;007003;159;04;1;3;009;2;2;2;0;5;0;83;3; ;2;003003;  ; ; ; ;2; ;5;5;5;3;3;5;5;1;059.165
2 ;007003;162;01;1;1;066;1;2;2;5;7;1;32;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;2;5;5;1;069.145
2 ;007003;163;01;2;1;075;1;1;1;3;7;0;46;2;1; ;      ;  ; ; ; ;2; ;5;5;5;3;3;3;5;1;069.145
2 ;007003;164;01;1;1;055;1;1;1;3;1;0;41;2;1;2;002003;15;3; ;1;2; ;5;5;5;5;1;5;5;1;054.792
2 ;007003;164;02;2;2;054;2;1;1;3;2;0;41;3; ;2;003003;15;3; ;2;2; ;5;5;5;5;5;5;5;1;054.792
2 ;007004;010;01;1;1;058;1;2;2;2;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;3;5;5;1;054.792
2 ;007004;010;02;2;2;057;2;2;2;2;9;0;82;3; ; ;      ;  ; ; ; ;1;8;5;5;5;5;3;5;5;1;054.792
2 ;007004;014;01;2;4;074;2;2;2;2;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;2;5;4;1;040.195
2 ;007004;014;02;1;1;037;1;1;1;3;1;0;61;3; ;2;035005;07;3; ;3;2; ;5;1;5;5;3;5;4;1;040.195
2 ;007004;014;03;2;2;035;1;1;2;3;8;0;56;2;1; ;      ;  ; ; ; ;2; ;5;5;5;5;1;5;4;1;040.195
2 ;007004;014;04;2;3;002; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;040.195
2 ;007004;014;05;1;3;001; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;040.195
2 ;007004;021;01;2;1;039;1;1;2;2;6;0;51;3; ; ;      ;  ; ; ; ;1;7;5;5;5;2;2;2;2;1;054.792
2 ;007004;021;02;2;3;010;2;1;2;0;5;0;83;3; ;2;017002;  ; ; ; ;2; ;3;5;5;2;2;2;2;1;054.792
2 ;007004;031;01;1;1;047;1;1;1;2;1;0;61;3; ;2;014005;06;1;1; ;2; ;4;5;2;4;4;5;4;1;040.195
2 ;007004;031;02;2;2;042;1;1;2;2;8;0;82;3; ; ;      ;  ; ; ; ;2; ;4;5;5;2;1;5;4;1;040.195
2 ;007004;031;03;2;3;013;2;1;2;0;5;0;84;3; ;2;016005;  ; ; ; ;2; ;4;5;5;2;3;5;4;1;040.195
2 ;007004;031;04;2;3;011;2;1;2;0;5;0;84;3; ;2;016005;  ; ; ; ;2; ;4;5;5;2;3;5;4;1;040.195
2 ;007004;031;05;1;3;006;2;2;2;0;5;0;83;3; ;2;007002;  ; ; ; ;2; ;4;5;5;2;3;5;4;1;040.195
2 ;007004;036;01;1;1;054;1;1;1;2;7;0;54;3; ; ;      ;  ; ; ; ;2; ;5;5;4;4;5;5;5;1;059.165
2 ;007004;036;02;2;2;055;1;1;1;3;1;0;31;3; ;2;027001;17;1;2; ;2; ;5;5;1;5;5;5;5;1;059.165
2 ;007004;036;03;2;3;025;1;1;2;5;2;0;41;3; ;2;057001;13;3; ;3;2; ;5;5;5;5;1;1;5;1;059.165
2 ;007004;036;04;2;3;017;1;1;2;0;5;0;85;3; ;2;007006;  ; ; ; ;2; ;5;5;5;5;4;5;5;1;059.165
2 ;007004;047;01;2;1;076;2;2;1;2;7;0;61;2;1; ;      ;  ; ; ; ;2; ;5;5;5;2;2;3;5;1;069.145
2 ;007004;054;01;2;2;083;2;2;2;2;7;0;32;3; ; ;      ;  ; ; ; ;1;9;5;5;5;5;5;5;5;2;054.792
2 ;007004;054;02;1;1;080;2;2;1;3;7;0;32;3; ; ;      ;  ; ; ; ;2; ;5;5;1;4;4;5;5;2;054.792
2 ;007004;060;01;1;1;045;1;1;1;3;1;0;48;3; ;2;055006;03;1;2; ;2;9;5;2;3;3;4;5;5;1;040.195
2 ;007004;060;02;2;2;038;1;1;1;5;8;0;51;3; ; ;      ;  ; ; ; ;1;9;5;5;3;3;4;5;5;2;040.195
2 ;007004;060;03;2;3;010;2;2;2;0;5;0;83;3; ;2;016001;  ; ; ; ;2; ;5;5;5;5;4;5;5;1;040.195
2 ;007004;060;04;1;3;007;2;2;2;0;5;0;83;3; ;2;016001;  ; ; ; ;2; ;5;5;5;5;4;5;5;2;040.195
2 ;007004;060;05;1;3;006;2;2;2;0;5;0;83;3; ;2;016001;  ; ; ; ;2; ;5;5;5;5;4;5;5;1;040.195
2 ;007004;067;01;1;1;040;1;1;1;4;1;0;36;3; ;2;078002;10;1;2; ;2; ;4;1;3;5;3;5;5;1;069.145
2 ;007004;073;01;1;1;064;1;2;1;2;7;0;61;3; ; ;      ;  ; ; ; ;2; ;5;5;2;5;5;5;4;1;054.792
2 ;007004;073;02;2;2;057;1;2;3;2;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;2;3;5;4;2;054.792
2 ;007004;075;01;2;1;064;1;2;1;3;7;0;55;3; ; ;      ;  ; ; ; ;1;5;5;5;2;5;2;5;5;1;069.145
2 ;007004;157;01;2;1;044;1;1;2;3;6;0;41;3; ; ;      ;  ; ; ; ;2; ;5;5;5;2;1;5;3;1;100.566
2 ;007004;157;02;2;3;014;1;1;2;0;5;0;84;3; ;2;016006;  ; ; ; ;2; ;5;5;5;4;2;5;3;1;100.566
2 ;007004;157;03;1;3;007;2;2;2;0;5;0;83;3; ;2;007006;  ; ; ; ;2; ;5;5;5;4;2;5;5;1;100.566
2 ;007004;168;01;2;1;082;2;2;2;1;7;0;56;1;1; ;      ;  ; ; ; ;2; ;5;5;5;4;2;3;4;1;069.145
2 ;007005;018;01;2;1;059;2;2;1;2;9;0;22;2;2; ;      ;  ; ; ; ;2; ;4;5;5;5;3;3;4;1;069.145
2 ;007005;041;01;1;1;033;1;1;1;5;1;0;47;3; ;2;913001;10;3; ;3;2; ;4;3;3;2;3;5;3;1;040.195
2 ;007005;041;02;1;4;032;1;1;1;4;1;0;32;3; ;2;001003;18;3; ;1;2; ;1;5;5;3;2;5;5;1;040.195
2 ;007005;041;03;1;4;032;1;1;1;3;6;0;32;3; ; ;      ;  ; ; ; ;2; ;3;5;4;3;2;5;4;1;040.195
2 ;007005;041;04;1;4;030;1;1;1;4;1;0;47;3; ;2;032003;07;3; ;1;2; ;4;4;3;3;3;5;5;1;040.195
2 ;007005;041;05;1;4;028;1;1;1;0;4;0;88;2;1;2;028003;  ;3; ;1;2; ;3;4;5;3;1;4;4;1;040.195
2 ;007005;107;01;2;1;061;1;2;1;2;7;0;41;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;5;3;5;1;069.145
2 ;007005;119;01;1;1;064;1;1;1;1;7;0;61;3; ; ;      ;  ; ; ; ;2; ;3;5;1;5;3;5;5;1;059.165
2 ;007005;119;02;2;2;055;1;1;2;1;2;0;56;3; ;2;007002;12;3; ;1;2; ;5;5;5;1;4;5;5;1;059.165
2 ;007005;119;03;2;3;022;2;1;1;0;4;0;87;1;1;2;026003;  ;3; ;3;2; ;5;5;5;3;1;5;5;1;059.165
2 ;007005;119;04;2;3;012;2;2;2;0;5;0;84;3; ;2;016006;  ; ; ; ;2; ;5;5;5;3;5;5;5;1;059.165
2 ;007005;132;01;2;1;050;1;1;1;5;1;0;31;3; ;2;007006;17;3; ;1;2; ;5;5;2;5;2;5;5;1;054.792
2 ;007005;132;02;1;3;023;1;1;1;0;4;0;87;2;1;2;021052;  ;3; ;1;2; ;5;5;3;2;2;5;5;1;054.792
2 ;007006;009;01;2;1;077;2;2;1;4;7;0;46;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;4;5;5;1;069.145
2 ;007006;019;01;2;2;036;1;1;2;3;1;0;51;3; ;2;027007;17;3; ;1;2; ;5;5;5;3;4;5;5;1;100.566
2 ;007006;019;02;1;1;036;1;1;1;5;1;0;47;3; ;2;200004;17;1;2; ;2; ;5;1;3;5;5;5;5;1;100.566
2 ;007006;019;03;2;3;014;1;1;2;0;5;0;84;2;1;2;016006;  ; ; ; ;2; ;5;4;5;3;1;5;5;1;100.566
2 ;007006;023;01;1;1;079;1;2;1;5;7;0;31;3; ; ;      ;  ; ; ; ;2; ;5;5;3;3;3;5;4;1;054.792
2 ;007006;023;02;2;2;069;1;2;1;4;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;2;2;4;5;4;1;054.792
2 ;007006;072;01;2;1;085;2;2;1;3;8;0;82;3; ; ;      ;  ; ; ; ;1;7;5;5;5;2;1;5;5;1;069.145
2 ;007006;082;01;2;1;083;1;2;2;2;7;0;22;2;1; ;      ;  ; ; ; ;2; ;5;5;5;4;1;4;4;1;069.145
2 ;007006;086;01;1;1;073;2;2;1;2;7;0;56;2;2; ;      ;  ; ; ; ;2; ;5;5;5;5;2;5;5;1;069.145
2 ;007006;098;01;1;1;066;2;1;1;4;7;0;32;3; ; ;      ;  ; ; ; ;2; ;5;5;4;4;4;5;5;2;054.792
2 ;007006;098;02;2;2;058;1;1;1;4;1;0;41;3; ;2;013006;16;2; ;3;2; ;5;5;4;4;1;5;5;1;054.792
2 ;007006;106;01;2;1;082;2;2;2;1;7;0;61;3; ; ;      ;  ; ; ; ;1;9;5;5;5;4;4;5;5;2;069.145
2 ;007006;109;01;2;1;055;1;1;1;5;6;0;55;3; ; ;      ;  ; ; ; ;2; ;1;5;1;2;5;5;5;1;069.145
2 ;007006;117;01;1;1;036;1;1;1;5;1;0;36;3; ;2;200003;11;3; ;1;2; ;5;1;4;5;4;5;3;1;059.165
2 ;007006;117;02;2;2;034;1;1;1;5;1;0;36;1;1;2;200003;11;3; ;1;2; ;5;4;4;5;4;5;3;1;059.165
2 ;007006;117;03;1;3;006;2;2;2;0;5;0;83;3; ;2;007006;  ; ; ; ;2; ;5;4;5;5;5;5;5;1;059.165
2 ;007006;117;04;1;3;002; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;059.165
2 ;007006;121;01;1;1;080;2;2;1;2;7;0;61;3; ; ;      ;  ; ; ; ;1;9;5;5;4;4;4;5;4;1;069.145
2 ;007006;122;01;2;1;056;1;2;1;2;1;0;51;2;1;2;012003;18;3; ;2;2; ;5;5;5;2;1;4;4;1;069.145
2 ;007006;152;01;1;1;027;1;1;1;2;1;0;61;2;1;2;038052;09;3; ;1;2; ;5;5;5;3;1;5;3;1;054.792
2 ;007006;152;02;1;4;026;1;1;1;2;1;0;61;2;1;2;001001;09;3; ;1;2; ;5;5;5;4;3;5;3;1;054.792
2 ;007009;003;01;1;1;026;1;1;1;4;1;0;22;3; ;2;012003;09;3; ;1;2; ;5;5;1;2;2;3;3;1;069.145
2 ;007009;006;01;1;1;051;1;1;1;5;1;0;36;3; ;2;200002;10;2; ;1;2; ;4;1;4;5;5;5;5;1;040.195
2 ;007009;006;02;2;2;048;1;1;1;5;2;0;55;3; ;2;031051;08;1;2; ;2; ;4;5;1;5;5;5;5;1;040.195
2 ;007009;006;03;2;3;018;1;1;2;0;5;0;85;2;1;2;007009;  ;3; ;1;2; ;4;5;5;5;3;5;5;1;040.195
2 ;007009;006;04;2;3;016;2;1;2;0;5;0;85;3; ;2;007002;  ; ; ; ;2; ;4;5;5;5;3;5;5;1;040.195
2 ;007009;006;05;1;3;012;2;2;2;0;5;0;84;3; ;2;016002;  ; ; ; ;2; ;4;5;5;5;3;5;5;1;040.195
2 ;007009;030;01;2;1;054;1;1;1;4;1;0;32;3; ;2;005004;10;2; ;1;2; ;5;5;3;4;4;5;5;1;054.792
2 ;007009;030;02;1;3;024;1;1;1;0;4;1;88;3; ;2;020001;  ;2; ;1;2; ;5;5;3;5;1;5;4;1;054.792
2 ;007009;035;01;2;1;036;1;1;2;3;8;0;82;2;1; ;      ;  ; ; ; ;2; ;5;5;5;5;1;4;4;1;069.145
2 ;007009;053;01;1;1;060;1;2;1;4;1;0;22;3; ;2;007009;07;3; ;3;2; ;5;5;2;5;5;5;5;1;069.145
2 ;007009;079;01;1;1;040;1;1;1;5;1;0;31;3; ;2;015006;17;3; ;1;2; ;3;1;3;5;5;5;5;1;054.792
2 ;007009;079;02;2;2;024;1;1;2;5;1;0;41;3; ;2;015006;17;3; ;1;2; ;5;2;5;3;2;5;5;1;054.792
2 ;007009;088;01;2;2;058;1;2;1;1;2;0;21;1;1;2;056001;06;1;3; ;2; ;5;5;1;4;4;4;5;1;054.792
2 ;007009;088;02;1;1;057;1;2;1;2;1;0;32;1;1;2;015007;16;3; ;1;2; ;5;5;2;5;1;5;5;1;054.792
2 ;007009;105;01;1;1;068;1;1;1;5;7;0;47;2;1; ;      ;  ; ; ; ;2; ;3;2;2;4;2;5;5;1;069.145
2 ;007009;130;01;2;1;073;1;1;1;5;7;0;32;2;1; ;      ;  ; ; ; ;2; ;5;5;5;1;3;4;4;1;069.145
2 ;007009;140;01;2;1;070;1;2;1;5;7;0;51;1;1; ;      ;  ; ; ; ;2; ;5;5;2;2;1;1;5;1;069.145
2 ;008001;008;01;1;1;065;1;2;1;3;7;0;46;3; ; ;      ;  ; ; ; ;2; ;5;5;5;4;5;5;3;1;107.525
2 ;008001;011;01;1;1;064;2;2;2;3;7;0;47;3; ; ;      ;  ; ; ; ;2; ;1;1;5;5;2;5;3;1;062.617
2 ;008001;011;02;2;2;064;2;2;2;4;7;0;54;3; ; ;      ;  ; ; ; ;2; ;5;1;5;5;2;5;3;1;062.617
2 ;008001;012;01;1;1;037;1;1;1;3;1;0;21;3; ;2;008001;07;1;1; ;2; ;4;5;4;5;3;5;5;1;054.998
2 ;008001;012;02;2;2;034;1;2;1;3;1;0;55;3; ;2;100002;07;1;1; ;2; ;4;5;1;4;3;2;1;1;054.998
2 ;008001;012;03;2;3;004; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;054.998
2 ;008001;013;01;1;1;084;2;2;1;3;7;0;46;2;1; ;      ;  ; ; ; ;2; ;5;5;3;5;1;5;5;1;062.617
2 ;008001;013;02;2;2;081;2;2;2;3;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;3;5;5;5;2;062.617
2 ;008001;027;01;1;1;068;2;1;1;2;7;0;21;2;1; ;      ;  ; ; ; ;2; ;5;2;5;4;2;5;5;1;107.525
2 ;008001;032;01;2;1;076;2;2;2;1;8;2;82;3; ; ;      ;  ; ; ; ;1;7;5;5;5;4;1;5;4;2;062.617
2 ;008001;032;02;1;3;059;1;1;1;5;6;2;41;2;1; ;      ;  ; ; ; ;1;7;5;5;4;4;1;5;4;1;062.617
2 ;008001;052;01;1;1;066;1;2;1;2;7;0;51;3; ; ;      ;  ; ; ; ;2; ;2;5;2;5;2;4;5;1;054.998
2 ;008001;052;02;2;2;064;1;2;1;2;7;0;66;3; ; ;      ;  ; ; ; ;2; ;5;5;5;2;2;4;5;1;054.998
2 ;008001;052;03;1;3;039;1;1;1;2;1;0;61;3; ;2;027003;06;1;3; ;2; ;5;5;1;4;3;5;5;1;054.998
2 ;008001;072;01;1;1;083;1;2;1;2;7;0;51;3; ; ;      ;  ; ; ; ;2; ;5;5;5;5;5;5;5;1;107.525
2 ;008001;093;01;1;1;049;1;2;1;2;1;0;51;3; ;2;007001;14;3; ;1;2; ;1;5;2;5;4;5;4;1;054.998
2 ;008001;093;02;2;2;048;1;2;1;3;2;0;55;2;1;2;002001;07;3; ;1;2; ;4;5;3;2;1;5;4;1;054.998
2 ;008001;093;03;1;3;023;1;1;1;0;4;0;88;3; ;2;024006;  ;3; ;1;2; ;5;1;5;3;4;5;4;1;054.998
2 ;008001;098;01;2;1;071;2;2;2;3;7;0;54;3; ; ;      ;  ; ; ; ;1;7;5;5;5;5;3;5;4;1;107.525
2 ;008001;118;01;1;1;043;2;1;1;4;1;0;36;3; ;2;035005;06;1;4; ;2; ;5;5;1;4;3;5;5;1;107.525
2 ;008001;137;01;2;1;043;1;1;1;5;1;0;47;3; ;2;048007;11;1;2; ;2; ;5;5;1;5;4;5;5;1;054.998
2 ;008001;137;02;2;3;017;1;1;2;0;5;0;85;3; ;2;009002;  ; ; ; ;2; ;5;5;5;1;4;5;5;1;054.998
2 ;008001;137;03;1;3;012;1;1;2;0;5;0;84;2;1;2;009002;  ; ; ; ;2; ;5;5;5;1;4;5;5;1;054.998
2 ;008001;159;01;2;1;086;2;2;1;3;8;0;82;3; ; ;      ;  ; ; ; ;1;9;5;5;5;5;5;5;5;2;107.525
2 ;008002;001;01;1;1;041;1;2;1;2;1;0;69;3; ;2;031004;07;1;2; ;2; ;5;5;1;5;5;5;5;1;054.998
2 ;008002;001;02;2;2;028;1;2;1;3;8;0;56;3; ; ;      ;  ; ; ; ;2; ;5;5;4;2;2;5;5;2;054.998
2 ;008002;001;03;1;3;001; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;054.998
2 ;008002;003;01;1;1;053;1;1;1;2;1;0;66;3; ;2;008004;03;2; ;1;2; ;5;1;2;5;5;5;5;1;062.617
2 ;008002;003;02;2;2;052;1;1;1;3;1;0;51;3; ;2;027001;17;2; ;1;2; ;4;1;2;2;4;4;5;1;062.617
2 ;008002;007;01;2;1;077;1;2;1;2;7;0;46;3; ; ;      ;  ; ; ; ;2; ;5;5;5;2;2;4;3;1;107.525
2 ;008002;018;01;2;2;046;1;1;1;4;8;0;41;3; ; ;      ;  ; ; ; ;2; ;5;5;1;3;3;5;5;1;061.820
2 ;008002;018;02;1;1;043;1;1;1;5;1;0;47;3; ;2;017003;10;3; ;2;2; ;5;1;2;2;4;5;5;1;061.820
2 ;008002;018;03;2;3;020;1;1;3;3;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;1;4;5;4;2;061.820
2 ;008002;018;04;2;3;018;1;1;3;0;5;0;85;3; ;2;009005;  ;3; ;3;1;9;5;5;5;1;4;5;5;1;061.820
2 ;008002;018;05;2;3;014;1;1;2;0;5;0;84;3; ;2;008006;  ; ; ; ;2; ;5;5;5;1;5;5;5;1;061.820
2 ;008002;036;01;1;1;064;1;2;1;2;1;0;61;3; ;2;055005;06;1;2; ;2; ;5;5;1;5;5;5;5;1;108.386
2 ;008002;036;02;2;2;054;1;2;2;2;8;0;82;3; ; ;      ;  ; ; ; ;2; ;5;5;5;2;2;5;5;1;108.386
2 ;008002;036;03;1;3;024;1;1;1;4;1;0;47;3; ;2;031051;08;1;2; ;2; ;5;5;1;3;5;5;5;1;108.386
2 ;008002;036;04;1;3;022;1;1;1;4;2;0;55;3; ;2;008005;07;3; ;1;2; ;5;1;3;3;5;5;5;1;108.386
2 ;008002;036;05;1;3;020;1;1;2;0;4;0;87;2;1;2;060002;  ;3; ;1;2; ;5;5;5;3;2;5;1;1;108.386
2 ;008002;036;06;1;3;015;1;1;2;0;5;0;84;3; ;2;008006;  ; ; ; ;2; ;5;5;5;3;2;5;4;1;108.386
2 ;008002;039;01;1;1;044;1;1;1;4;1;0;46;3; ;2;017004;03;2; ;1;2; ;5;5;3;5;4;5;5;2;062.617
2 ;008002;039;02;1;2;036;1;1;1;5;1;0;55;3; ;2;002003;07;2; ;1;2; ;5;5;5;5;2;5;5;2;062.617
2 ;008002;048;01;2;2;044;1;1;1;5;1;0;32;3; ;2;009001;16;3; ;1;2; ;5;5;2;3;2;5;5;1;242.446
2 ;008002;048;02;1;1;043;1;1;1;5;1;0;46;3; ;2;020002;07;1;1; ;2; ;5;5;1;4;4;5;5;1;242.446
2 ;008002;048;03;1;3;014;1;1;2;0;5;0;84;3; ;2;009001;  ; ; ; ;2; ;4;5;5;2;2;5;5;1;242.446
2 ;008002;048;04;2;3;010;2;1;2;0;5;0;83;3; ;2;009001;  ; ; ; ;2; ;4;5;5;2;2;5;5;1;242.446
2 ;008002;066;01;1;1;065;2;1;1;5;7;0;36;3; ; ;      ;  ; ; ; ;2; ;5;5;2;4;4;5;5;1;062.617
2 ;008002;066;02;2;2;058;1;1;1;4;8;0;51;3; ; ;      ;  ; ; ; ;2; ;5;5;3;2;2;5;5;1;062.617
2 ;008002;067;01;1;1;032;1;1;1;5;1;0;32;2;1;2;200003;13;3; ;2;2; ;1;4;4;4;3;3;1;1;107.525
2 ;008002;068;01;2;1;054;1;1;1;5;1;0;46;2;1;2;035001;18;1;2;3;2; ;5;5;1;5;2;5;4;1;107.525
2 ;008002;083;01;1;1;034;1;1;1;5;1;0;41;3; ;2;015052;17;1;2; ;2; ;5;5;1;5;4;5;5;1;054.998
2 ;008002;083;02;2;2;030;1;1;1;5;1;0;41;2;1;2;027001;17;2; ;1;2; ;5;5;4;4;1;5;5;1;054.998
2 ;008002;083;03;2;3;001; ; ; ; ; ; ;  ; ; ; ;      ;  ; ; ; ; ; ; ; ; ; ; ; ; ; ;054.998
2 ;008002;084;01;1;1;080;2;2;1;2;7;0;21;2;1; ;      ;  ; ; ; ;1;7;5;5;5;4;2;5;5;1;062.617
2 ;008002;084;02;2;2;079;2;2;1;2;7;0;10;2;1; ;      ;  ; ; ; ;1;7;5;5;5;4;3;5;5;2;062.617
2 ;008002;089;01;1;1;031;1;1;1;5;1;0;36;3; ;2;076002;10;1;2; ;2; ;5;5;1;4;3;5;5;1;062.617
2 ;008002;089;02;2;2;026;1;1;1;4;1;0;46;3; ;2;007001;09;1;2; ;2; ;5;5;1;4;4;5;5;1;062.617
2 ;008002;101;01;1;1;063;1;1;1;2;7;0;41;2;1; ;      ;  ; ; ; ;2; ;5;5;4;4;4;5;5;1;062.617
2 ;008002;101;02;2;2;061;1;2;1;5;7;0;41;2;1; ;      ;  ; ; ; ;2; ;5;5;2;2;2;5;5;1;062.617
2 ;008002;111;01;2;1;044;1;1;1;3;1;0;54;3; ;2;007003;15;2; ;3;2; ;5;5;4;3;3;5;4;1;054.998
2 ;008002;111;02;1;3;020;1;1;1;3;1;0;51;3; ;2;007009;15;1;1; ;2; ;5;5;1;4;3;5;5;1;054.998
2 ;008002;111;03;1;3;014;1;1;2;0;5;0;84;3; ;2;009001;  ; ; ; ;2; ;5;5;5;3;3;5;5;1;054.998
2 ;008002;117;01;1;1;081;2;1;1;2;7;0;61;2;1; ;      ;  ; ; ; ;2; ;5;5;3;5;2;4;5;1;062.617
2 ;008002;117;02;2;2;076;2;2;1;2;7;0;22;2;1; ;      ;  ; ; ; ;2; ;5;5;5;3;2;5;5;1;062.617
2 ;008002;130;01;1;1;045;1;1;1;5;1;0;31;3; ;2;005003;12;2; ;1;2; ;5;1;4;1;4;5;5;1;061.820
