ACTIVITIES$$eating$$shopping$$leisure$$outside activity$$sport$$other activity$$visiting friend$$working$$studying$$staying at home$$
BD_TYPES$$home$$leisure and sport$$office$$other_activity$$restaurant$$health related activity$$shop$$sport$$school$$outside_sport$$leisure$$public$$university$$stadium$$kindergarten$$park$$supermarket$$
189,0,0,42@9+0:1.0=$%
189,0,1,42@9+0:1.0=$%
189,0,2,42@9+0:1.0=$%
189,0,3,42@9+0:1.0=$%
189,0,4,42@9+0:1.0=$%
189,0,5,42@9+0:0.9840909090909091=$%0@7+2:0.00909090909090909=$%169@7+2:0.006818181818181818=$%
189,0,6,42@9+0:0.9515738498789347=$%0@8+12:0.0072639225181598075=$7+2:0.016949152542372885=$%4@7+2:0.012106537530266347=$%169@7+2:0.012106537530266347=$%
189,0,7,42@9+0:0.7949367088607595=$%0@8+12:0.020253164556962026=$7+2:0.06329113924050633=$6+0:0.00759493670886076=$%169@7+2:0.01518987341772152=$%4@7+2:0.01518987341772152=$%140@7+2:0.012658227848101267=$%7@7+2:0.017721518987341773=$%71@7+2:0.010126582278481013=4:0.01518987341772152=$%56@7+2:0.00759493670886076=$%35@7+2:0.020253164556962026=$%
189,0,8,42@9+0:0.5251989389920424=$%55@7+2:0.007957559681697611=$%0@8+12:0.03448275862068965=$7+2:0.1246684350132626=$6+0:0.007957559681697611=$%35@7+2:0.03713527851458886=$%7@7+2:0.029177718832891244=$%71@7+4:0.047745358090185666=2:0.01856763925729443=6:0.015915119363395222=$%169@7+2:0.02652519893899204=$%4@7+2:0.029177718832891244=$%12@7+2:0.010610079575596816=$%56@7+2:0.01326259946949602=$%59@8+12:0.01326259946949602=$7+2:0.010610079575596816=$%140@7+2:0.01856763925729443=$%388@7+2:0.01326259946949602=$%471@7+2:0.007957559681697611=$%1@7+2:0.007957559681697611=$%
189,0,9,42@9+0:0.41530054644808745=$%55@7+2:0.01366120218579235=$%0@8+12:0.03551912568306011=$7+2:0.15027322404371585=$6+0:0.01092896174863388=$1+6:0.01092896174863388=$%1@7+2:0.01092896174863388=$%169@7+2:0.0273224043715847=$%35@7+2:0.03825136612021858=$%7@7+2:0.03551912568306011=$%71@7+4:0.05191256830601093=2:0.02185792349726776=6:0.016393442622950817=$%4@7+2:0.032786885245901634=$%12@7+2:0.01092896174863388=$%56@7+2:0.01366120218579235=$%59@8+12:0.016393442622950817=$7+2:0.01092896174863388=$%189@7+2:0.01092896174863388=$%140@7+2:0.024590163934426226=$%53@7+2:0.008196721311475409=$%371@7+2:0.008196721311475409=$%388@7+2:0.016393442622950817=$%471@7+2:0.008196721311475409=$%
189,0,10,1@7+2:0.013966480446927379=$1+6:0.008379888268156426=$%42@9+0:0.38826815642458107=$%55@7+2:0.013966480446927379=$%0@8+12:0.03631284916201118=$7+2:0.15642458100558665=$6+0:0.011173184357541903=$1+6:0.016759776536312852=$%169@7+2:0.027932960893854757=$%35@7+2:0.03910614525139666=$%7@7+2:0.03631284916201118=$%4@7+2:0.033519553072625705=$%12@7+2:0.011173184357541903=$%56@7+2:0.013966480446927379=$%59@8+12:0.016759776536312852=$7+2:0.011173184357541903=$%71@7+4:0.05027932960893856=2:0.022346368715083807=6:0.016759776536312852=$%189@7+2:0.011173184357541903=$%140@7+2:0.02513966480446928=$%53@7+2:0.008379888268156426=$%371@7+2:0.008379888268156426=$%388@7+2:0.013966480446927379=$%471@7+2:0.008379888268156426=$%
