id,categories,types
13,68&&103%_%_::276$69&&60%_%_::742$70&&69%_%_::834$71&&32%_%_::1839$72&&80%_%_::502$73&&10%_%_::1415$74&&50%_%_::798$,home::688719.0543893778$Annexe::118464.87999980667$parking::19042.246224344475$office::40452.01499995301$other_activity::3182.2529430712643$shop::4931.985000015857$health related activity::510.8300000065402$leisure and sport::16911.161231701575$farm::1940.1750000130498$restaurant::429.6749999989231$cinema::970.2299999999686$music_school::503.0899999897077$fire_station::139.70500000291386$roof::193.9349999954086$social_facility::1015.4050000085947$public::702.960000001375$car_wash::63.290223668951015$greenhouse::291.22999999844353$
14,75&&32%_%_::571$76&&10%_%_::410$77&&50%_%_::289$78&&103%_%_::88$79&&60%_%_::208$80&&80%_%_::164$81&&69%_%_::235$,home::146355.33640876636$Annexe::26901.749999999047$office::10270.554999975908$restaurant::501.4200000007067$other_activity::1914.5024668411265$parking::5831.307450290255$leisure and sport::2619.5237698240144$drinking_water::467.00141641385306$
15,82&&103%_%_::251$83&&60%_%_::718$84&&50%_%_::864$85&&10%_%_::1298$86&&32%_%_::1696$87&&80%_%_::468$88&&69%_%_::823$,home::644136.9563115231$Annexe::91780.28000002139$farm::2980.4150000071295$office::80127.58500013071$shop::17156.372640598478$other_activity::4289.819801714854$restaurant::3031.745304771799$leisure and sport::14654.416772628523$parking::13281.676239046488$car_wash::171.55000000499422$music_school::245.2500000023574$fire_station::655.4600000019511$drinking_water::1563.7283313892142$school::6342.2176647470405$park::21.30444277362672$sport::971.2719506230139$roof::242.96000000460538$sewing::44.939999999643774$cinema::1066.779999995667$fountain::46.50626870101236$kindergarten::89.67902627511825$fabric::392.49499999512454$health related activity::880.82500000039$hut::78.72357257763758$
16,89&&80%_%_::48$90&&69%_%_::56$91&&10%_%_::108$92&&60%_%_::57$93&&50%_%_::71$94&&32%_%_::146$,home::41112.74513847275$Annexe::4441.164999981873$office::2944.595000007191$leisure and sport::69.65999999870895$other_activity::372.5799999980244$parking::647.7921706121284$
17,95&&10%_%_::525$96&&50%_%_::350$97&&60%_%_::240$98&&32%_%_::711$99&&103%_%_::118$100&&69%_%_::340$101&&80%_%_::199$,home::145962.41124348648$Annexe::34742.954999952904$office::20496.019999988068$fire_station::394.2700000002934$school::3696.594999996673$parking::4434.999407520331$other_activity::1304.5150000043352$social_facility::2661.27999999647$leisure and sport::4654.909959119459$service::89.52000000385567$roof::88.18500000181143$shop::430.88499999325495$
19,102&&69%_%_::580$103&&103%_%_::211$104&&50%_%_::628$105&&32%_%_::1330$106&&10%_%_::964$107&&60%_%_::564$108&&80%_%_::329$,Annexe::82844.85500005195$home::234785.73698139566$office::45905.43499984803$other_activity::5032.145821574568$leisure and sport::27234.88104098647$boat_storage::2053.7404564227686$public::3238.3649999899585$parking::5077.245210892997$restaurant::1636.880000013979$bench::140.53512670197213$fountain::140.53512670197213$shop::1599.2749999547843$toilets::1490.6742137147244$roof::271.50500000012573$health related activity::2702.784999988121$motorcycle_parking::117.15189563360866$motorcycle::610.6399999963376$sport::17.78500000147382$newsagent::351.1700000057649$outside_sport::367.7620423054451$ticket::66.88999999971362$car_wash::120.45499999495689$school::271.90000000753207$educational_institution::271.90000000753207$
20,109&&60%_%_::3011$110&&32%_%_::7532$111&&80%_%_::2080$112&&50%_%_::3724$113&&10%_%_::5581$114&&69%_%_::3479$115&&103%_%_::1058$,home::1403004.720478358$office::421345.93999995734$Annexe::360004.25999986124$leisure and sport::59311.03353655814$roof::10325.895000006194$shop::54037.049999771574$social_facility::18085.454462423397$farm::34601.219999983936$other_activity::28167.10481606696$parking::68425.23597923869$school::11135.471755033772$terrace::265.22999999537603$health related activity::7290.184999963487$restaurant::5868.921606068053$parking_entrance::14194.785532797976$toilets::671.9900000026182$recycling::10584.282503949567$kitchen::1469.7999999877588$bed::818.320000002057$newsagent::120.13500000319095$drinking_water::6081.325376895626$fountain::6081.325376895626$kindergarten::1199.275000003964$car_wash::343.09762575095436$childcare::1396.5599999911828$sport::16022.033482620363$tattoo::1440.7649999922626$community_centre::161.13000000268684$financial::3168.2399999905647$no::567.3300000026578$car_parts::1259.0999999953085$vending_machine::5592.046002110973$fire_station::747.6600000027835$catering::44.780000001493605$fishing_tackle::74.66500000210596$hearing_aids::377.4199999932968$shed::3422.949999988376$multi;soccer;basketball::193.18225714625848$service::238.14000000799075$park::1175.1599999988077$doityourself::4078.8800000000033$
21,116&&69%_%_::208$117&&103%_%_::59$118&&50%_%_::157$119&&32%_%_::350$120&&10%_%_::289$121&&60%_%_::147$122&&80%_%_::97$,home::111777.93533155943$Annexe::17360.325000025987$office::9472.069999911213$farm::5540.695000014555$leisure and sport::27883.51656500365$parking::4275.390215537521$other_activity::979.3999999944003$climbing::101197.03749520126$school::365.41500000078463$social_facility::186.68500000330155$restaurant::255.28999999918975$dormitory::2396.0149999819732$
22,123&&69%_%_::53$124&&60%_%_::52$125&&10%_%_::48$126&&32%_%_::79$,home::43480.811950306896$office::5147.675000055501$other_activity::2204.8996433571256$farm::349.9099999942095$Annexe::4037.584999997527$toilets::62.4299999979022$parking::494.90223002937427$roof::318.7566046365893$restaurant::117.69999599588915$fountain::43.379999997774135$reception_desk::42.75000000312575$cabin::23.709999999349236$shop::159.30999999252148$waste_basket::241.58220389445182$leisure and sport::955.5605183354455$parking_space::431.2145073328298$fire_station::252.08000000096393$public::252.08000000096393$social_facility::196.21999999902445$barn::338.3999999608845$
23,127&&60%_%_::240$128&&10%_%_::473$129&&69%_%_::298$130&&32%_%_::648$131&&80%_%_::177$132&&103%_%_::103$133&&50%_%_::255$,home::291160.2503596289$Annexe::50616.80999990474$drinking_water::34997.40085546108$school::11144.778939290482$sport::9689.628939288992$office::25520.269999963763$shop::5705.954999984048$parking::18274.77902832438$other_activity::2675.233056067711$leisure and sport::17034.154639177556$restaurant::711.9850000024925$farm::8342.144999967448$wayside_cross::832.9973845448692$health related activity::775.2000000038009$archery::1586.410599497595$park::18896.463557845625$recycling::1988.6039379488122$greenhouse::4534.779999988135$lavoir::31.195000001603038$
24,134&&32%_%_::318$135&&103%_%_::57$136&&10%_%_::262$137&&50%_%_::139$138&&80%_%_::90$139&&60%_%_::139$140&&69%_%_::154$,home::74230.56052221337$office::3352.59000004749$Annexe::13584.149999992116$leisure and sport::745.2633471306581$other_activity::5163.443721554069$drinking_water::577.1186745700262$tower::37.036495799752714$post_box::68.52057623533364$bunker::297.56500000120377$restaurant::480.1549999986356$parking::2899.4335744268624$workship::22.60000000074506$shop::29.48999999767635$farm::271.0499999947729$
