id,categories,types
54,234&&60%_%_::3220$235&&32%_%_::7927$236&&50%_%_::3881$237&&10%_%_::5879$238&&69%_%_::3662$239&&103%_%_::1225$240&&80%_%_::2306$,home::1102226.294222008$office::273675.44500049454$Annexe::418104.5999999207$leisure and sport::59401.87982935494$shop::27714.8550000856$other_activity::44530.331025186366$farm::969.9399999910639$health related activity::25679.71904838432$parking::26663.37317190104$restaurant::4940.274999989848$atm::2655.800000011176$school::63379.82608739624$drinking_water::13394.56904837551$bench::1529.4818448641277$sport::48082.3936376953$fountain::11125.532433775314$university::1697.609999996771$photo::395.1350000007287$roof::904.7800000094622$post_box::277.89000000759495$parking_entrance::177.4349999860372$toilets::6912.770095320239$recycling::5185.888743891755$service::45.42000000027008$construction::186.61499999967873$workship::519.4099999945937$border_control::705.7250000035856$cinema::259.29999999111755$
55,241&&32%_%_::13340$242&&10%_%_::10080$243&&69%_%_::6081$244&&50%_%_::6303$245&&80%_%_::3741$246&&60%_%_::5340$247&&103%_%_::2056$,home::1921375.5452428763$Annexe::446489.15999992855$office::358183.78860859683$other_activity::19740.91332011318$farm::105135.8200002003$shop::56187.225713440996$toilets::650.7498682529588$parking::58448.66011962197$leisure and sport::73676.44521377345$sport::5670.774117097808$health related activity::10630.720000000787$restaurant::12474.395015364966$roof::471.96967470753316$school::28001.05565245038$parking_entrance::2027.2106744231762$storage_tank::363.9500000043772$bicycle_parking::3180.9913610924564$post_box::58.32499999903376$barracks::511.87500000388826$recycling::1464.9085541680602$newsagent::285.9649999948416$bench::1777.767200554049$park::1621.92499997564$social_facility::7367.114999953386$public::239.5500000033877$terrace::120.81999999811057$hearing_aids::220.03999999588356$garage::175.89500000081142$outside_sport::467.51739972305796$climbing::306.219999997674$waste_basket::47.815000001215374$sailing::87.629999999922$toy_library::455.0200000085706$greenhouse::3039.072981891462$cinema::90.52999999900231$service::1998.5750000167636$college::677.5749999968277$university::247.77999999816413$community_centre::110.15999999718973$ticket::206.4250000017346$notary::1722.4149999892657$fire_station::922.8100000027953$car_parts::861.999999996426$
56,248&&60%_%_::1284$249&&32%_%_::3357$250&&69%_%_::1492$251&&50%_%_::1636$252&&80%_%_::950$253&&10%_%_::2488$254&&103%_%_::550$,Annexe::88712.92999990936$home::972393.3887887442$office::749043.5999978813$farm::66126.14499999552$parking::77458.14681207098$leisure and sport::21227.126812443268$greenhouse::48854.29319999189$car_parts::1597.0749999289283$shop::9303.14499998793$roof::1690.9199999780462$restaurant::285.6600000000885$other_activity::7533.711009749348$sport::1772.4230497948374$stadium::1170.4550000173842$lavoir::24.600000000186263$recycling::2233.3157498943033$construction::1895.546907902733$warehouse::3829.9500001058623$school::11784.9550000159$drinking_water::889.6145649286915$furniture_storage::2719.0450000252704$parking_space::7197.728008223865$garage::1258.344999996964$toilets::95.55773822528334$
58,255&&10%_%_::133$256&&80%_%_::42$257&&32%_%_::187$258&&60%_%_::66$259&&69%_%_::65$260&&50%_%_::96$261&&103%_%_::29$,home::53207.21422958872$leisure and sport::40107.687563424326$office::4475.9899999303825$Annexe::5234.064999996558$restaurant::664.0549999985658$farm::809.7950000041932$other_activity::11136.985979506475$parking::3147.835016311993$shop::89.35499999507913$community_centre::66.11499999559834$school::6125.703161471757$park::114.37999999276246$
59,262&&10%_%_::2175$263&&60%_%_::1106$264&&69%_%_::1280$265&&50%_%_::1293$266&&80%_%_::826$267&&103%_%_::497$268&&32%_%_::2839$,home::872255.4646706964$Annexe::120497.91000000248$office::259293.41183608296$farm::45932.98000006442$parking::191728.7141127362$recycling::403.6626053254117$restaurant::9869.68897563084$leisure and sport::23419.504600006378$shop::12331.873002417142$public::3737.870000012691$motorcycle_parking::51905.313467025466$other_activity::5623.159135816884$fire_station::211.2949999936286$sport::2664.959876610971$roof::582.5822737808577$school::12098.860000012446$reception_desk::74.0399999963143$greenhouse::16993.628933373227$research::6676.309999949629$social_facility::2335.7199999923946$atm::244.81500000313622$university::108078.47767985184$bridge::1364.1850000128945$glasshouse::11054.568392777168$padel::835.4607135777355$parking_entrance::2037.1978779224874$college::99309.35267989375$bicycle_parking::127268.28408090989$service::707.719999998518$shed::146.8199999937159$container::25550.234911846495$shooting::412.0457736578524$post_box::152.68000000525382$carport::63.276899374249815$kindergarten::1856.8450000045302$vending_machine::4363.397888325824$childcare::1001.8293470645921$construction::3197.9577341944387$parking_space::20.96465682257338$
62,269&&60%_%_::49$270&&32%_%_::118$271&&69%_%_::59$272&&50%_%_::65$273&&80%_%_::67$274&&10%_%_::79$,home::53887.78637562677$Annexe::8035.935000006009$farm::1598.899999983347$office::4359.290000019882$parking::14909.142197079542$restaurant::244.60500000064377$shop::380.58500000222466$service::25.00157282854651$other_activity::454.04847304813234$outside_sport::2988.062853211274$
63,275&&50%_%_::44$,home::9872.441428402683$Annexe::958.0849999901409$office::708.1250001095702$toilets::28.1699999996298$other_activity::120.09500000075322$post_box::120.09500000075322$parking::210.12302795271935$
64,276&&50%_%_::163$277&&32%_%_::300$278&&10%_%_::203$279&&80%_%_::69$280&&69%_%_::114$281&&60%_%_::109$282&&103%_%_::38$,Annexe::10385.715000011569$home::80855.03881243657$office::14095.430000157743$farm::18000.04500000864$other_activity::978.8870507955982$parking::1286.8822839328548$restaurant::461.4599999906879$hut::21.150000000291037$leisure and sport::969.792495043749$
65,283&&10%_%_::327$284&&103%_%_::50$285&&69%_%_::177$286&&80%_%_::106$287&&60%_%_::141$288&&50%_%_::188$289&&32%_%_::379$,home::169973.0686613492$Annexe::39370.17999999504$farm::730.9700000074762$office::24097.219999882243$shop::2134.815000029405$other_activity::6525.716150108325$leisure and sport::19477.57256979237$parking::15787.213125915652$restaurant::1114.3150000126707$toilets::1346.955000002064$health related activity::837.0900000068035$social_facility::266.2999999995576$barn::199.05122568721683$farm_auxiliary::884.9100000051468$cabin::24.77073628276072$waste_basket::123.67602985970896$ranger_station::182.19000000123285$lavoir::180.69500000010123$school::799.0899999971875$service::74.93999999829917$shelter::249.224999996135$atm::518.2399999903189$bunker::129.0177737359501$community_centre::268.84500000329103$parking_space::115.25201402618802$recycling::1917.9042656619822$hut::75.00999999658438$cowshed::210.66000000461122$fountain::2771.5718345835953$
71,290&&32%_%_::6458$291&&10%_%_::4940$292&&69%_%_::2948$293&&60%_%_::2555$294&&80%_%_::1801$295&&50%_%_::3194$296&&103%_%_::968$,home::1425578.813005626$office::481784.4400002857$Annexe::375932.03500016587$toilets::63078.793346756494$leisure and sport::1154372.223813371$restaurant::1126567.4768566478$parking::110774.04284514714$farm::33534.14499997727$other_activity::76742.43637512221$shop::185116.85232163724$fountain::54216.05656720225$drinking_water::20695.235012561723$health related activity::11622.419999958973$household_linen::963.5700000820054$funeral_directors::1331.7399999577342$sport::7142.61000020483$childcare::1223.324999965093$soccer;basketball;handball::306.2713876259619$bicycle_parking::9170.807269136974$attr::80.50180531617897$warehouse::3443.2799999992467$mall::2704.2150000446263$vacant::1246.0650000055807$kindergarten::20398.31589790041$social_facility::912.4600000025681$service::1295.0649999801326$car_wash::39235.06732100811$community_centre::1415.550000016624$stadium::601.6400000089104$newsagent::69.88999999333406$second_hand::98.46000000157278$roof::594.9550000145496$reception_desk::912.5449999934483$bus_station::69.84999999795109$kitchen::2655.9900000188754$model_aerodrome::1055.9823734095473$school::31287.03929849158$hangar::5890.420000138456$video_games::15375.984999992299$storage_tank::173.2703285863179$driving_school::566.6650000007962$doityourself::15375.985000184408$rugby::8416.305980301298$bed::1244.2499998817336$recycling::359.5789744171283$scuba_diving::1161.5999999980322$clinic::334.1350000009325$bench::842.325933205858$basketball;handball::362.81520340560684$garage::606.4349999885284$motorcycle::1657.275000003859$outside_sport::263.0784778591494$motorcycle_parking::2664.889600891894$shed::153.3299999969825$
76,297&&32%_%_::416$298&&10%_%_::343$299&&69%_%_::188$300&&50%_%_::207$301&&60%_%_::188$302&&103%_%_::53$303&&80%_%_::118$,home::104288.35068386575$Annexe::17135.300000013518$parking::5595.733895588356$farm::624.2050000023551$office::10379.634999938331$restaurant::161.8399999999814$other_activity::944.3549999975297$health related activity::150.7999999950407$service::368.0199999108165$shop::241.3787556795724$
77,304&&60%_%_::153$305&&103%_%_::55$306&&32%_%_::340$307&&50%_%_::162$308&&10%_%_::283$309&&69%_%_::179$310&&80%_%_::103$,home::94763.61101931156$Annexe::16677.399999993115$office::2111.2700000146065$social_facility::333.92000000018857$other_activity::969.5715759711667$parking::1783.444699149462$fire_station::84.02000000117812$parking_space::21.18428655192868$leisure and sport::1453.096177388043$lavoir::49.90000000121654$service::57.3799999987171$toilets::20.314999999579744$
78,311&&69%_%_::51$312&&50%_%_::34$313&&60%_%_::27$314&&80%_%_::43$315&&32%_%_::88$316&&10%_%_::62$,home::16477.268127343483$Annexe::4518.934999992603$office::425.7399999977811$parking::700.8645527422786$leisure and sport::645.448011758916$other_activity::256.13999999895697$
79,317&&50%_%_::54$318&&60%_%_::33$319&&32%_%_::101$320&&10%_%_::79$321&&69%_%_::39$322&&80%_%_::46$,home::37157.68923497583$bunker::106.43000000286729$Annexe::7650.054999994326$other_activity::1307.569676755866$office::9045.200000057224$parking::2429.6817040925043$shop::50.905000000294535$service::303.49500000223753$bell::28.46999999834923$leisure and sport::3469.4108881120023$restaurant::270.0400000036659$
86,323&&32%_%_::52$324&&10%_%_::36$325&&69%_%_::32$,home::16015.908878265303$Annexe::2286.4250000073803$farm::363.959999996206$office::402.1150000361516$other_activity::214.79000000518514$public::33.020000000473814$parking::657.9860841152026$leisure and sport::34.27499999906868$
92,326&&69%_%_::82$327&&80%_%_::55$328&&103%_%_::29$329&&32%_%_::210$330&&10%_%_::171$331&&50%_%_::94$332&&60%_%_::78$,Annexe::21704.694999950352$home::92380.10758563873$other_activity::53796.052398604916$parking_space::537.112111836221$farm::4719.905000010999$collapsed::667.3805005764605$bunker::35368.947487689074$office::6241.355000065643$parking::3870.945997501429$school::212.8800000023027$leisure and sport::2027.6366307103258$restaurant::503.0950000061723$social_facility::1398.920000002971$shop::124.44499999830266$toilets::345.88000001045174$fire_station::381.82500000528523$fountain::544.481410993543$shelter::46.939999999236306$community_centre::189.9149999906216$drinking_water::72.98999999697783$
95,333&&80%_%_::51$334&&10%_%_::61$335&&69%_%_::42$336&&60%_%_::42$337&&50%_%_::48$338&&32%_%_::78$,home::34441.64750181241$Annexe::5453.595000000166$office::1982.1950001267262$parking::560.4020950880572$school::150.35500000418278$other_activity::942.415233581502$restaurant::135.05500000257047$
96,339&&103%_%_::187$340&&50%_%_::514$341&&32%_%_::992$342&&10%_%_::730$343&&60%_%_::409$344&&80%_%_::257$345&&69%_%_::415$,home::458282.1527835529$Annexe::67799.78000006896$office::29774.20499996778$farm::25284.419999946604$other_activity::1319.5649999954703$leisure and sport::30080.265429910407$toilets::300.8399999976298$shop::74.89500000179514$restaurant::1008.3358069572467$parking::5814.989601757763$shower::26739.06660732033$post_box::137.32499999909197$drinking_water::40.20500000110943$motorcycle_parking::80.21646151481902$greenhouse::133.89000000048196$
97,346&&10%_%_::27$347&&69%_%_::76$,home::7881.317613957552$Annexe::2033.210000010799$restaurant::94.87999999901977$office::464.9950000721042$other_activity::288.40500000344935$parking::568.4289892585518$
101,348&&32%_%_::44$349&&10%_%_::34$350&&69%_%_::31$351&&50%_%_::36$,bunker::1073.6064385089428$toilets::1649.7884986895253$leisure and sport::2842.9733328469233$home::12619.009479601678$Annexe::1419.7650000024962$office::685.0149999942363$shop::68.72500000157743$other_activity::503.3290694882205$parking::2948.176817649958$cowshed::219.5100000103563$baking_oven::39.610000000955765$restaurant::184.77999999836203$
103,352&&60%_%_::70$353&&69%_%_::70$354&&32%_%_::150$355&&10%_%_::151$356&&80%_%_::65$357&&50%_%_::76$,home::72130.51132494552$Annexe::12982.365000037822$leisure and sport::4585.921404363743$office::14875.569999978688$other_activity::1845.7599999787265$nursery::173.03999999688472$parking::1868.5048897665772$fountain::873.1835784260569$shop::752.6449999697285$farm::555.554999989107$workship::86.91000000077534$drinking_water::213.6349999950943$restaurant::54.59999999793945$toilets::28.950000000651926$public::302.07999999715133$
105,358&&69%_%_::36$359&&32%_%_::64$,home::9564.09784610842$Annexe::2169.36500000224$other_activity::347.3950000067137$office::441.82499998459247$leisure and sport::535.9292623755332$
108,360&&32%_%_::67$,home::18448.112863429527$Annexe::1980.9350000340696$other_activity::473.98999999674504$office::581.0949999455315$parking::152.64053584676722$
109,361&&50%_%_::487$362&&32%_%_::969$363&&10%_%_::732$364&&103%_%_::149$365&&69%_%_::431$366&&80%_%_::235$367&&60%_%_::383$,home::372757.3919460302$Annexe::54708.78499996562$office::32485.794999974336$other_activity::4109.200191507378$school::3954.873428514703$parking::1458.4796074392534$leisure and sport::1034.6699999966088$lavoir::37.15500000056811$roof::37.15500000056811$farm::7514.535000006711$car_parts::1401.4050000074833$social_facility::947.5050000029197$restaurant::473.4499999966938$shop::1850.9749999980327$parking_space::43.71483350057999$doityourself::1774.714999996978$
110,368&&60%_%_::480$369&&32%_%_::1139$370&&10%_%_::830$371&&69%_%_::497$372&&80%_%_::337$373&&50%_%_::526$374&&103%_%_::183$,home::374959.2958281126$Annexe::46187.380000069614$office::84071.8099999695$farm::76868.23999997291$parking::20076.05235747444$other_activity::1917.9289232508168$lavoir::41.59999999594292$shop::1620.0500000188533$roof::201.95000000139697$leisure and sport::9736.93465561312$greenhouse::1428.0450000039255$social_facility::1350.4950000054969$bicycle_parking::2450.456903328182$restaurant::647.294999996574$school::922.425000004156$
112,375&&32%_%_::60$376&&10%_%_::43$377&&60%_%_::68$,home::22975.31739420876$Annexe::3547.494999992197$office::2678.9799999435877$restaurant::157.25500000258208$farm::1836.155000018496$leisure and sport::115.6800000037055$other_activity::335.7600000050943$service::22.259999998249114$social_facility::32984.41075945546$
118,378&&32%_%_::1502$379&&60%_%_::645$380&&69%_%_::675$381&&10%_%_::1188$382&&50%_%_::681$383&&80%_%_::444$384&&103%_%_::272$,home::241393.6197755324$Annexe::36150.99499997599$office::108455.5599996487$parking::6222.931268676939$leisure and sport::14713.202270929298$farm::3894.345000008233$roof::68.58500000217813$school::2525.842881216393$other_activity::897.2599999938021$health related activity::170.08999999528402$shop::203.28499999685215$
121,385&&32%_%_::325$386&&80%_%_::95$387&&50%_%_::159$388&&60%_%_::134$389&&69%_%_::193$390&&103%_%_::54$391&&10%_%_::256$,home::108139.01452149414$Annexe::23033.9250000362$office::10127.155000084149$other_activity::2682.3549869989$farm_auxiliary::127.26349803441254$farm::370.46999999797674$school::398.81000000259144$restaurant::1168.5949999972665$parking::3038.361423174355$shop::385.4999999971361$fire_station::196.42999999997437$leisure and sport::2617.915939547062$
126,392&&60%_%_::47$393&&32%_%_::50$394&&10%_%_::29$395&&80%_%_::26$,home::24825.857696864292$other_activity::498.6899999974785$Annexe::2846.9550000180543$office::3001.1400000630088$farm::322.645000001085$hangar::64.74499999841325$post_box::68.37999999939814$restaurant::248.88499999741094$
132,396&&50%_%_::74$397&&60%_%_::52$398&&69%_%_::53$399&&32%_%_::125$400&&80%_%_::59$401&&10%_%_::79$,home::49437.51617816048$Annexe::6205.525000009487$office::4170.495000131633$other_activity::38040.835175682085$bunker::58294.20503371464$parking::1637.2860846533522$collapsed::66.30999999975087$farm::2633.5849999875386$toilets::489.7049999987637$social_facility::554.095000004915$workship::9277.614700738453$restaurant::44.8950000018999$school::192.88000000515487$leisure and sport::39.554999997506386$
137,402&&80%_%_::42$403&&69%_%_::36$404&&32%_%_::64$405&&50%_%_::58$406&&10%_%_::37$,home::31750.835879803504$Annexe::3831.1299999990733$office::1140.839999967548$parking::1433.4756881635049$leisure and sport::754.8274845525399$shop::112.00500000165658$kindergarten::543.9395725916067$bench::1114.960918138586$farm::773.5949999949731$other_activity::976.025281623404$milestone::76.79538365011264$school::338.4999999994296$public::526.4550000019302$sport::126.02701828423064$barn::327.73047997972924$recycling::43.78148622910997$
138,407&&103%_%_::157$408&&10%_%_::864$409&&60%_%_::489$410&&32%_%_::1134$411&&69%_%_::540$412&&80%_%_::290$413&&50%_%_::516$,home::441123.32684335$Annexe::77814.4200000249$office::23738.42000015375$shop::1477.129707015094$leisure and sport::10669.864057864688$school::3920.2699999680626$farm::17618.46500003635$greenhouse::355.5199999973073$parking_space::68.58805811065426$waste_basket::4782.225302763267$parking::4758.266945405721$other_activity::9235.143948555182$community_centre::1323.5600000157929$drinking_water::588.9362322012156$newsagent::52.15999999869149$
139,414&&80%_%_::25$415&&32%_%_::82$416&&69%_%_::33$417&&10%_%_::46$418&&60%_%_::32$,home::17761.934135865016$Annexe::2228.930000021844$other_activity::207.2049999998638$office::1105.8049999933155$drinking_water::44.77000000152737$social_facility::647.5849999917125$parking::61.97486915534696$service::23.899999991460938$
140,419&&80%_%_::1477$420&&50%_%_::2441$421&&10%_%_::3949$422&&69%_%_::2310$423&&103%_%_::798$424&&32%_%_::5365$425&&60%_%_::1964$,home::1728639.6686508686$Annexe::326229.02499997854$office::386040.39499928587$other_activity::18789.27636445203$social_facility::19470.592511045696$health related activity::8316.540000000017$shop::59851.02977088352$public::105.91999999860533$parking_entrance::9664.03599986638$parking::144082.55632934938$restaurant::34984.5081624777$candles::75.85499999988707$farm::13288.234999922499$leisure and sport::66411.8832868133$kindergarten::2308.455000009561$toilets::10611.706927419411$school::19867.964404609796$roof::2938.1899999766983$bicycle_parking::5096.880000052653$warehouse::1806.634999937684$waste_basket::772.2340139540997$sport::1857.42884030265$kitchen::321.34500000691736$doityourself::1987.8550000030593$recycling::2068.2165338799464$motorcycle_parking::20.283323906714376$tattoo::93.86999999752268$atm::421.82000000973466$post_box::2315.7273540938927$semidetached_house::62.014999999329454$tennis;handball;baskbetball::1946.282796522466$service::51.80680714008385$vending_machine::195.55999999828984$drinking_water::473.4744206155133$bench::21126.03175322965$laser_tag::1513.6199999896937$motorcycle::2636.3700000701833$financial::780.9950000290364$car_wash::38.69500000266242$flooring;paint::1592.334999995723$storage_rental::3466.710000036701$park::3014.874999964808$party::979.9649999067967$hearing_aids::277.71000000175906$coffee::127.5449999994319$deli::87.61000000041443$architect::75.71999999917578$college::666.399999989732$fire_station::1104.2399999993759$martial_arts::625.5199999980002$carport::86.40500000170314$shed::54.51999999861699$funeral_directors::56.12999999931082$outside_sport::271.6870134125479$animal_shelter::23202.13457721792$
141,426&&50%_%_::338$427&&32%_%_::658$428&&10%_%_::460$429&&69%_%_::298$430&&103%_%_::109$431&&60%_%_::266$432&&80%_%_::211$,home::243757.77018618697$Annexe::41431.45999998735$office::27651.17500010836$parking::3589.7281347588896$farm::860.0749999945517$other_activity::2293.6295938982994$fire_station::1625.625000097428$leisure and sport::3477.443128872944$service::634.1650855754444$restaurant::376.8050000005681$hangar::292.4750000067637$free_flying::1891.6663481914368$drinking_water::39.09000000017928$social_facility::2216.6699999855437$outside_sport::359.4215908198073$
142,433&&80%_%_::43$434&&32%_%_::46$,home::13518.459887335024$office::1618.7149999093813$other_activity::294.68081285098515$Annexe::806.8199999932444$leisure and sport::456.38462997258404$restaurant::229.32500000325962$parking::988.6095513587225$
145,435&&60%_%_::76$436&&103%_%_::25$437&&32%_%_::159$438&&10%_%_::106$439&&69%_%_::87$440&&50%_%_::69$441&&80%_%_::52$,home::37380.44021529733$Annexe::4933.484999983383$farm::1628.6149999880895$greenhouse::1274.9165336371361$other_activity::2942.492341693355$office::3062.5100000110315$barn::29.979240696485835$leisure and sport::3787.615209964395$shop::190.66999999798253$parking::2798.189349363896$lavoir::60.369999995625115$restaurant::136.63000000006753$social_facility::884.019999998617$school::203.6881452798172$
146,442&&32%_%_::350$443&&50%_%_::203$444&&10%_%_::326$445&&80%_%_::105$446&&103%_%_::63$447&&69%_%_::172$448&&60%_%_::139$,home::106664.97272809145$parking::9602.978814118094$Annexe::18774.6300000065$office::18510.74499999008$leisure and sport::16560.910603228658$shop::5123.699999948568$other_activity::273.5400000034913$roof::79.00500000126661$service::28.71998016190355$
147,449&&32%_%_::2023$450&&10%_%_::1653$451&&80%_%_::564$452&&50%_%_::941$453&&69%_%_::950$454&&103%_%_::334$455&&60%_%_::815$,home::577529.3756238006$Annexe::87414.75999987694$office::190248.985000203$leisure and sport::13642.33906548552$parking::8363.239928853158$farm::2517.2100000033074$other_activity::2931.8999999895923$restaurant::229.04500000224914$social_facility::9304.023329114543$park::711.3250000043422$school::3628.110000014733$fire_station::255.96999999676598$
154,456&&50%_%_::2623$457&&10%_%_::4008$458&&32%_%_::5441$459&&69%_%_::2443$460&&80%_%_::1499$461&&60%_%_::2201$462&&103%_%_::837$,home::1182381.660598485$office::114879.0899997178$recycling::11517.698111289073$Annexe::279456.1500000039$leisure and sport::24505.92378924015$other_activity::9253.660158785971$health related activity::1345.0199999743213$farm::38094.26499999943$school::71457.77262071942$shop::15455.559999839628$parking::12918.860673623582$park::3713.599999993329$restaurant::2303.140000027845$parking_entrance::2331.8300000010913$cinema::184.85999999868565$shelter::47.92500000105355$social_facility::6968.734999980348$doityourself::1702.9099999428179$car_rental::254.88999999190216$clinic::26143.98441919885$bicycle_parking::34.56499999948079$car_wash::212.7400000078685$public::202.11999999761582$drinking_water::782.1099999827077$garage::160.73499999867403$sport::1312.5776633406815$stadium::829.6499999925843$community_centre::1888.185000003575$water_tower::52.46041419110507$sheepfold::334.8249999990221$service::537.6149999951851$cabin::77.08999999683815$workship::822.8749999953318$roof::111.79500000371598$fire_station::622.5800000104517$tattoo::53.09000000065659$spa::345.6850000006007$
155,463&&50%_%_::25$464&&32%_%_::54$465&&80%_%_::28$,home::7008.009850571544$Annexe::533.8599999921023$farm::1662.8499999948892$parking::729.4396516626638$other_activity::380.26999999827353$office::284.600000001234$carport::87.97999999655177$
161,466&&69%_%_::46$467&&32%_%_::162$468&&60%_%_::57$469&&80%_%_::71$470&&50%_%_::48$471&&10%_%_::108$,home::69758.92972263407$Annexe::11436.659999991345$other_activity::1549.77459903816$office::9771.90999996586$shop::877.182405263412$restaurant::623.7699999919813$parking::2522.673461027619$leisure and sport::3382.4107411053947$school::1429.6100000051235$fountain::58.724999999132706$farm::878.8800000053819$
162,472&&32%_%_::67$473&&50%_%_::40$474&&10%_%_::50$475&&60%_%_::35$476&&69%_%_::27$477&&80%_%_::33$,home::55497.07025215245$Annexe::5285.904999978006$office::9427.445000082407$parking::2949.2344654665753$other_activity::10680.437644741742$shed::250.38000007705298$restaurant::51.74999999594293$barn::83.88785701870418$shop::154.5999999980442$farm::85.65000000194414$school::305.6199999977788$leisure and sport::3447.510268313019$
165,478&&80%_%_::259$479&&69%_%_::391$480&&32%_%_::885$481&&10%_%_::786$482&&50%_%_::437$483&&60%_%_::386$484&&103%_%_::125$,home::265419.5721237466$Annexe::43797.57999993422$office::18713.84999991586$other_activity::2608.2002892246414$leisure and sport::7254.679291638137$farm::906.095000007744$parking::5487.526489987338$shop::4611.535000141102$sport::567.3815891475805$hut::399.01161613582275$school::796.4400000031944$
167,485&&32%_%_::146$486&&10%_%_::120$487&&80%_%_::57$488&&69%_%_::76$489&&50%_%_::79$490&&60%_%_::65$,home::62308.89562009601$other_activity::16043.059068203194$Annexe::11552.784999969606$office::8378.634999927379$restaurant::176.62499999906868$shop::344.42999999674385$bunker::827.1592621033603$leisure and sport::3952.879357310972$roof::123.49500000680098$parking::2556.538549955171$workship::26.92754506597806$service::20.607431858079686$
169,491&&50%_%_::1855$492&&60%_%_::1425$493&&32%_%_::3657$494&&80%_%_::1040$495&&10%_%_::2866$496&&69%_%_::1661$497&&103%_%_::589$,home::1004521.4342216558$Annexe::153171.6149998866$office::410889.3169566615$parking::229336.50576370952$bench::1264.688886494505$other_activity::22556.90591121585$school::41261.16279320401$college::3761.324999991577$community_centre::538.5500000056634$leisure and sport::57774.19652010391$greenhouse::3189.424999982014$motorcycle_parking::7734.93593641314$terrace::2456.434999987894$shop::28904.04516656401$health related activity::2790.6650000051795$service::316.1909636321402$driving_school::1027.3923743202738$parking_space::282.64962797013163$fire_station::624.1600000060955$farm::10771.66500003522$bicycle_parking::11287.182760312277$vending_machine::2409.61275374308$dormitory::5412.819999999898$cinema::103533.92611521436$restaurant::16319.834022798232$roof::624.3199999962013$mosque::1172.2550000064355$public::5778.622463521669$waste_basket::4942.235293006228$university::9287.34999998784$post_depot::578.4499999979046$recycling::2201.8531899119052$parking_entrance::4546.700000018493$soccer;basketball::256.36070772570434$shelter::92.91155720200173$toilets::85.65500000209897$shed::64.76999999766821$climbing::1209.4199999959044$handball;basketball;football::1056.690356593874$outside_sport::596.438782857542$social_facility::2053.3199999993626$baby_goods::2229.9350000048958$no::337.09565336357684$football::534.4488746681645$garage::3085.594999935875$post_box::223.70499997566685$waste_disposal::25.209999999844$running::292.209575912049$fountain::57.424999999825374$boat::3627.540000085228$research::307.8000000031432$handball;football;basketball::1217.3011800969398$atm::878.2450000067196$
172,498&&50%_%_::107$499&&60%_%_::70$500&&10%_%_::136$501&&69%_%_::84$502&&80%_%_::47$503&&32%_%_::193$504&&103%_%_::36$,home::103057.98214123216$parking::6760.305976623725$Annexe::21256.920000006296$office::16484.94500004202$leisure and sport::10805.930361150125$shop::1269.2988188557288$lavoir::120.08500000245753$farm::339.83499999732356$other_activity::2013.3649999937124$restaurant::1512.6249999935503$toilets::8.74000000025495$sanitary_dump_station::2572.9240209546983$school::377.3799999980826$health related activity::66.3149999993178$recycling::4047.212796187319$newsagent::1077.0200000052644$cinema::841.8900000038115$sport::582.1200000008056$skiing::582.1200000008056$drinking_water::404.27485687527184$
173,505&&32%_%_::44$,home::6825.123930675301$office::1049.9349999940698$other_activity::98.10999999927355$Annexe::567.5350000001466$farm::458.15999999380205$parking::284.93002020260667$
179,506&&50%_%_::277$507&&32%_%_::510$508&&60%_%_::208$509&&69%_%_::249$510&&10%_%_::415$511&&80%_%_::137$512&&103%_%_::68$,home::124424.71704341313$Annexe::24198.715000017248$office::50599.35500006355$public::192.97499999789872$farm::2373.3150000237474$leisure and sport::11631.653350621493$shop::2514.486088578396$atm::211.57500000257278$other_activity::734.7650000149582$parking::4353.126292893714$roof::173.00500000060302$fountain::32.56000000134576$kindergarten::23.14478000851566$restaurant::1184.2350000417823$community_centre::342.78499999927936$recycling::5225.15703869054$waste_disposal::8438.120643512026$sport::717.6730297099446$
183,513&&32%_%_::43$,home::5018.177214787556$Annexe::519.5500000000873$office::111.42000002686515$other_activity::295.0096366419501$parking::318.78061612751424$
184,514&&32%_%_::53$515&&10%_%_::42$516&&60%_%_::68$517&&50%_%_::43$,office::1726.5100000834884$Annexe::5722.545000024349$home::23216.53405448719$other_activity::459.730000001482$leisure and sport::492.9285815696569$farm::695.0600000159325$parking::959.2143058951519$community_centre::130.12000000029337$workship::75.80499999914201$fountain::130.58725790328882$
