ZONE_MORPHO;ZONE;NUMECH;P01;D1;D2_A;D2_B;D3;D4H;D4M;D5_A;D5_B;D6;D7;D8H;D8M;D9;D10;COEP
2;029001;003;01;01;01;;029001;10;0;41;;;028002;10;15;15;1;103.726
2;029001;003;01;02;41;;028002;11;0;32;;;022001;11;15;15;1;103.726
2;029001;003;01;03;32;;022001;12;0;01;;;029001;12;15;15;1;103.726
2;029001;006;01;01;01;;029001;9;0;33;;;035003;9;10;10;1;40.179
2;029001;006;01;02;33;;035003;10;0;01;;;029001;10;20;20;1;40.179
2;029001;010;01;01;01;;029001;8;0;11;;;002001;8;30;30;1;40.179
2;029001;010;01;02;11;;002001;18;40;51;;;009001;19;0;20;1;40.179
2;029001;010;01;03;51;;009001;20;40;01;;;029001;21;0;20;1;40.179
2;029001;010;02;01;01;;029001;12;0;51;;;025004;12;30;30;1;40.179
2;029001;010;02;02;51;;025004;13;40;01;;;029001;14;0;20;1;40.179
2;029001;012;01;01;01;;029001;11;30;53;;;005006;11;50;20;1;40.179
2;029001;012;01;02;53;;005006;17;0;01;;;029001;17;30;30;1;40.179
2;029001;013;01;01;01;;029001;13;30;51;;;031001;13;40;10;0;103.726
2;029001;013;01;02;51;;031001;16;45;33;;;031001;16;50;5;0;103.726
2;029001;013;01;03;33;;031001;17;0;01;;;029001;17;10;10;0;103.726
2;029001;022;01;01;01;;029001;10;0;33;;;030004;10;15;15;1;40.179
2;029001;022;01;02;33;;030004;11;15;01;;;029001;11;30;15;1;40.179
2;029001;022;02;01;01;;029001;10;0;33;;;030004;10;15;15;1;40.179
2;029001;022;02;02;33;;030004;11;15;01;;;029001;11;30;15;1;40.179
2;029001;027;01;01;01;;029001;14;30;54;;;022002;14;37;7;1;103.726
2;029001;027;01;02;54;;022002;14;50;31;;;038051;15;5;15;1;103.726
2;029001;027;01;03;31;;038051;16;30;54;;;022002;16;45;15;1;103.726
2;029001;027;01;04;54;;022002;17;0;01;;;029001;17;7;7;1;103.726
2;029001;027;01;05;01;;029001;19;30;54;;;022002;19;37;7;1;103.726
2;029001;027;01;06;54;;022002;22;23;01;;;029001;22;30;7;1;103.726
2;029001;049;01;01;01;;029001;9;20;33;;;029001;9;25;5;0;66.814
2;029001;049;01;02;33;;029001;9;35;33;;;029001;9;40;5;0;66.814
