ZONE_MORPHO;ZONE;NUMECH;P01;D1;D2_A;D2_B;D3;D4H;D4M;D5_A;D5_B;D6;D7;D8H;D8M;D9;D10;COEP
1;002001;008;01;01;01;;002001;7;0;54;;;066005;7;40;40;1;49.27
1;002001;008;01;02;54;;066005;7;42;52;;;104001;10;11;149;1;49.27
1;002001;008;01;03;52;;104001;10;11;53;;;104001;12;40;149;0;49.27
1;002001;008;01;04;53;;104001;12;40;52;;;104001;14;43;123;0;49.27
1;002001;008;01;05;52;;104001;14;43;01;;;002001;16;45;122;2;49.27
1;002001;023;01;01;01;;002001;9;0;11;;;031006;9;45;45;1;46.93
1;002001;023;01;02;11;;031006;13;0;53;;;031006;13;2;2;0;46.93
1;002001;023;01;03;53;;031006;13;45;11;;;031006;13;47;2;0;46.93
1;002001;023;01;04;11;;031006;18;30;01;;;002001;19;0;30;1;46.93
1;002001;023;01;05;01;;002001;19;15;33;;;007003;19;20;5;0;46.93
1;002001;023;01;06;33;;007003;19;45;01;;;002001;19;50;5;0;46.93
1;002001;023;02;01;01;;002001;10;0;11;;;038051;10;35;35;1;46.93
1;002001;023;02;02;11;;038051;21;30;01;;;002001;22;15;45;1;46.93
1;002001;023;03;01;01;;002001;9;0;24;;;007009;9;15;15;1;46.93
1;002001;023;03;02;24;;007009;16;50;01;;;002001;17;0;10;1;46.93
1;002001;023;03;03;01;;002001;17;15;51;;;001001;17;35;20;0;46.93
1;002001;023;03;04;51;;001001;17;35;52;;;010004;18;5;30;1;46.93
1;002001;023;03;05;52;;010004;18;5;51;;;001001;18;35;30;1;46.93
1;002001;023;03;06;51;;001001;18;35;01;;;002001;19;0;25;0;46.93
1;002001;024;01;01;01;;002001;14;0;33;;;002001;14;5;5;0;36.3
1;002001;024;01;02;33;;002001;14;40;01;;;002001;14;45;5;0;36.3
1;002001;024;01;03;01;;002001;19;0;54;;;002003;19;10;10;0;36.3
1;002001;024;01;04;54;;002003;24;0;01;;;002001;24;10;10;0;36.3
1;002001;024;02;01;01;;002001;14;0;33;;;002001;14;5;5;0;36.3
1;002001;024;02;02;33;;002001;14;40;01;;;002001;14;45;5;0;36.3
1;002001;024;02;03;01;;002001;19;0;54;;;002003;19;10;10;0;36.3
1;002001;024;02;04;54;;002003;24;0;01;;;002001;24;10;10;0;36.3
1;002001;027;01;01;01;;002001;13;30;54;;;003003;13;45;15;0;49.27
1;002001;027;01;02;54;;003003;16;15;64;22;;003003;16;25;10;0;49.27
1;002001;027;01;03;62;22;003003;16;30;54;;;003003;16;40;10;0;49.27
1;002001;027;01;04;54;;003003;16;45;01;;;002001;17;0;15;0;49.27
1;002001;028;01;01;01;;002001;12;0;33;;;001001;12;30;30;0;36.3
1;002001;028;01;02;33;;001001;13;0;01;;;002001;13;30;30;0;36.3
1;002001;028;01;03;01;;002001;17;0;54;;;035005;17;30;30;1;36.3
1;002001;028;01;04;54;;035005;19;30;01;;;002001;20;0;30;1;36.3
1;002001;028;02;01;01;;002001;12;0;33;;;001001;12;30;30;0;36.3
1;002001;028;02;02;33;;001001;13;0;01;;;002001;13;30;30;0;36.3
1;002001;028;02;03;01;;002001;17;0;54;;;035005;17;30;30;1;36.3
1;002001;028;02;04;54;;035005;19;30;01;;;002001;20;0;30;1;36.3
1;002001;049;01;01;01;;002001;10;0;33;;;002001;10;2;2;0;36.3
1;002001;049;01;02;33;;002001;10;15;01;;;002001;10;17;2;0;36.3
1;002001;049;01;03;01;;002001;13;45;54;;;095004;14;20;35;1;36.3
1;002001;049;01;04;54;;095004;17;0;01;;;002001;17;50;50;1;36.3
1;002001;049;02;01;01;;002001;10;0;33;;;002001;10;2;2;0;36.3
1;002001;049;02;02;33;;002001;10;15;01;;;002001;10;17;2;0;36.3
1;002001;049;02;03;01;;002001;13;45;54;;;095004;14;20;35;1;36.3
1;002001;049;02;04;54;;095004;17;0;01;;;002001;17;50;50;1;36.3
1;002001;060;01;01;01;;002001;8;50;11;;;005001;9;0;10;1;37.507
1;002001;060;01;02;11;;005001;14;0;01;;;002001;14;10;10;1;37.507
1;002001;060;01;03;01;;002001;17;50;11;;;005001;18;0;10;1;37.507
1;002001;060;01;04;11;;005001;23;0;01;;;002001;23;10;10;1;37.507
1;002001;060;02;01;01;;002001;8;50;11;;;005001;9;0;10;1;37.507
1;002001;060;02;02;11;;005001;14;0;01;;;002001;14;10;10;1;37.507
1;002001;060;02;03;01;;002001;17;50;11;;;005001;18;0;10;1;37.507
1;002001;060;02;04;11;;005001;23;0;01;;;002001;23;10;10;1;37.507
1;002001;060;03;01;01;;002001;7;50;24;;;007001;8;0;10;0;37.507
1;002001;060;03;02;24;;007001;12;0;01;;;002001;12;10;10;0;37.507
1;002001;060;03;03;01;;002001;13;50;24;;;007001;14;0;10;0;37.507
1;002001;060;03;04;24;;007001;17;0;01;;;002001;17;10;10;0;37.507
1;002001;060;04;01;01;;002001;7;50;23;;;007001;8;0;10;0;37.507
1;002001;060;04;02;23;;007001;12;0;01;;;002001;12;10;10;0;37.507
1;002001;060;04;03;01;;002001;13;50;23;;;007001;14;0;10;0;37.507
1;002001;060;04;04;23;;007001;17;0;01;;;002001;17;10;10;0;37.507
1;002001;061;01;01;01;;002001;7;0;61;23;;068006;7;45;45;1;37.507
1;002001;061;01;02;63;23;068006;7;46;11;;;068006;8;0;14;1;37.507
1;002001;061;01;03;11;;068006;8;10;61;22;;068001;8;25;15;0;37.507
1;002001;061;01;04;63;22;068001;8;30;11;;;068006;8;40;10;0;37.507
1;002001;061;01;05;11;;068006;12;30;33;;;068001;12;35;5;1;37.507
1;002001;061;01;06;33;;068001;12;50;11;;;068006;13;0;10;0;37.507
1;002001;061;01;07;11;;068006;18;30;01;;;002001;19;30;60;1;37.507
1;002001;061;02;01;01;;002001;7;0;61;23;;068006;7;45;45;1;37.507
1;002001;061;02;02;63;23;068006;7;46;11;;;068006;8;0;14;1;37.507
1;002001;061;02;03;11;;068006;16;15;64;22;;068001;16;25;10;0;37.507
1;002001;061;02;04;62;22;068001;16;35;11;;;068006;16;45;10;0;37.507
1;002001;061;02;05;11;;068006;18;30;01;;;002001;19;30;60;1;37.507
1;002001;061;03;01;01;;002001;7;0;23;;;068006;7;45;45;1;37.507
1;002001;061;03;02;23;;068006;17;0;54;;;068006;17;15;15;0;37.507
1;002001;061;03;03;54;;068006;18;30;01;;;002001;19;30;60;1;37.507
1;002001;061;04;01;01;;002001;7;0;61;23;;068006;7;45;45;1;37.507
1;002001;061;04;02;63;23;068006;7;46;54;;;068006;8;0;14;1;37.507
1;002001;061;04;03;54;;068006;8;10;22;;;068001;8;25;15;0;37.507
1;002001;061;04;04;22;;068001;16;35;54;;;068006;16;45;10;0;37.507
1;002001;061;04;05;54;;068006;18;30;01;;;002001;19;30;60;1;37.507
1;002001;077;01;01;01;;002001;10;0;34;;;007002;10;10;10;0;49.27
1;002001;077;01;02;34;;007002;12;0;01;;;002001;12;15;15;0;49.27
1;002001;077;01;03;01;;002001;12;25;41;;;008001;12;35;10;0;49.27
1;002001;077;01;04;41;;008001;14;0;01;;;002001;14;10;10;0;49.27
1;002001;113;01;01;01;;002001;7;30;61;11;;007009;7;45;15;0;36.3
1;002001;113;01;02;63;11;007009;7;55;54;;;033001;8;15;20;1;36.3
1;002001;113;01;03;54;;033001;9;30;01;;;002001;9;50;20;1;36.3
1;002001;113;01;04;01;;002001;10;0;42;;;001001;10;15;15;0;36.3
1;002001;113;01;05;42;;001001;11;30;01;;;002001;11;45;15;0;36.3
1;002001;113;01;06;01;;002001;16;45;64;11;;007009;17;0;15;0;36.3
1;002001;113;01;07;62;11;007009;17;0;61;41;;003003;17;25;25;0;36.3
1;002001;113;01;08;61;41;003003;18;0;01;;;002001;18;30;30;0;36.3
1;002001;113;01;09;01;;002001;18;40;33;;;002003;18;45;5;0;36.3
1;002001;113;01;10;33;;002003;18;50;01;;;002001;18;55;5;0;36.3
1;002001;113;02;01;01;;002001;7;30;11;;;007009;7;45;15;0;36.3
1;002001;113;02;02;11;;007009;17;0;41;;;003003;17;25;25;0;36.3
1;002001;113;02;03;41;;003003;18;0;01;;;002001;18;30;30;0;36.3
1;002001;115;01;01;01;;002001;8;0;11;;;200005;9;0;60;2;49.27
1;002001;115;01;02;11;;200005;18;0;01;;;002001;20;0;120;2;49.27
1;002001;142;01;01;01;;002001;12;15;53;;;026008;12;35;20;1;49.27
1;002001;142;01;02;53;;026008;14;0;42;;;026008;14;5;5;0;49.27
1;002001;142;01;03;42;;026008;15;45;01;;;002001;16;10;25;1;49.27
1;002001;146;01;01;01;;002001;10;30;42;;;017001;10;40;10;1;36.3
1;002001;146;01;02;42;;017001;11;0;32;;;007004;11;15;15;1;36.3
1;002001;146;01;03;32;;007004;11;30;01;;;002001;11;50;20;0;36.3
1;002001;146;01;04;01;;002001;15;30;52;;;002002;16;30;60;0;36.3
1;002001;146;01;05;52;;002002;16;30;01;;;002001;17;30;60;0;36.3
1;002001;146;02;01;01;;002001;10;30;42;;;017001;10;40;10;1;36.3
1;002001;146;02;02;42;;017001;11;0;32;;;007004;11;15;15;1;36.3
1;002001;146;02;03;32;;007004;11;30;01;;;002001;11;50;20;0;36.3
1;002001;146;02;04;01;;002001;15;30;52;;;002002;16;30;60;0;36.3
1;002001;146;02;05;52;;002002;16;30;01;;;002001;17;30;60;0;36.3
1;002001;157;01;01;01;;002001;10;0;52;;;003008;11;0;60;0;36.3
1;002001;157;01;02;52;;003008;11;0;01;;;002001;12;0;60;0;36.3
1;002001;157;01;03;01;;002001;16;0;42;;;002002;16;5;5;1;36.3
1;002001;157;01;04;42;;002002;17;0;52;;;002003;17;40;40;0;36.3
1;002001;157;01;05;52;;002003;17;40;01;;;002001;18;20;40;0;36.3
1;002001;157;01;06;01;;002001;21;0;42;;;002001;21;5;5;0;36.3
1;002001;157;01;07;42;;002001;21;10;01;;;002001;21;15;5;0;36.3
1;002001;157;02;01;01;;002001;16;0;42;;;002002;16;5;5;1;36.3
1;002001;157;02;02;42;;002002;17;0;52;;;002003;17;40;40;0;36.3
1;002001;157;02;03;52;;002003;17;40;01;;;002001;18;20;40;0;36.3
1;002002;003;01;01;01;;002002;10;0;52;;;003002;10;30;30;0;36.3
